@relation green.txt-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute cervix_area numeric
@attribute os_area numeric
@attribute walls_area numeric
@attribute speculum_area numeric
@attribute artifacts_area numeric
@attribute cervix_artifacts_area numeric
@attribute os_artifacts_area numeric
@attribute walls_artifacts_area numeric
@attribute speculum_artifacts_area numeric
@attribute cervix_specularities_area numeric
@attribute os_specularities_area numeric
@attribute walls_specularities_area numeric
@attribute speculum_specularities_area numeric
@attribute specularities_area numeric
@attribute area_h_max_diff numeric
@attribute rgb_cervix_r_mean numeric
@attribute rgb_cervix_r_std numeric
@attribute rgb_cervix_r_mean_minus_std numeric
@attribute rgb_cervix_r_mean_plus_std numeric
@attribute rgb_cervix_g_mean numeric
@attribute rgb_cervix_g_std numeric
@attribute rgb_cervix_g_mean_minus_std numeric
@attribute rgb_cervix_g_mean_plus_std numeric
@attribute rgb_cervix_b_mean numeric
@attribute rgb_cervix_b_std numeric
@attribute rgb_cervix_b_mean_minus_std numeric
@attribute rgb_cervix_b_mean_plus_std numeric
@attribute rgb_total_r_mean numeric
@attribute rgb_total_r_std numeric
@attribute rgb_total_r_mean_minus_std numeric
@attribute rgb_total_r_mean_plus_std numeric
@attribute rgb_total_g_mean numeric
@attribute rgb_total_g_std numeric
@attribute rgb_total_g_mean_minus_std numeric
@attribute rgb_total_g_mean_plus_std numeric
@attribute rgb_total_b_mean numeric
@attribute rgb_total_b_std numeric
@attribute rgb_total_b_mean_minus_std numeric
@attribute rgb_total_b_mean_plus_std numeric
@attribute hsv_cervix_h_mean numeric
@attribute hsv_cervix_h_std numeric
@attribute hsv_cervix_s_mean numeric
@attribute hsv_cervix_s_std numeric
@attribute hsv_cervix_v_mean numeric
@attribute hsv_cervix_v_std numeric
@attribute hsv_total_h_mean numeric
@attribute hsv_total_h_std numeric
@attribute hsv_total_s_mean numeric
@attribute hsv_total_s_std numeric
@attribute hsv_total_v_mean numeric
@attribute hsv_total_v_std numeric
@attribute fit_cervix_hull_rate numeric
@attribute fit_cervix_hull_total numeric
@attribute fit_cervix_bbox_rate numeric
@attribute fit_cervix_bbox_total numeric
@attribute fit_circle_rate numeric
@attribute fit_circle_total numeric
@attribute fit_ellipse_rate numeric
@attribute fit_ellipse_total numeric
@attribute fit_ellipse_goodness numeric
@attribute dist_to_center_cervix numeric
@attribute dist_to_center_os numeric
@attribute consensus {0,1}

@data
0.293491,0.104807,0,0.713468,0,0,0,0,0,0,0,0,0.124885,0.235024,0.253976,0.210781,0.223886,0.245912,0.228858,0.491533,0.427266,0.417,0.520849,0.64616,0.41345,0.721554,0.63095,0.330938,0.485893,0.211558,0.433936,0.62105,0.523948,0.489668,0.672287,0.684461,0.690686,0.60646,0.788874,0.665099,0.977203,0.715404,0.258228,0.491523,0.427359,0.701059,0.893966,0.682204,0.183549,0.620993,0.523956,0.967374,0.30085,0.775333,0.376953,1,0.206637,0.925547,0.315734,0.092348,0.282087,0.271546,1
0.489216,0.153668,0.171965,0.096019,0,0,0,0,0,0.002184,0,0,0.234648,0.060485,0.300365,0.206019,0.267878,0.220966,0.23737,0.354879,0.548242,0.206861,0.445132,0.537004,0.54973,0.4881,0.602036,0.276734,0.273798,0.301433,0.308366,0.425898,0.409854,0.306402,0.481145,0.54257,0.472813,0.606692,0.591478,0.701957,0.923699,0.590589,0.47676,0.355126,0.547642,0.724378,0.727287,0.580633,0.219154,0.42598,0.409328,0.939071,0.516598,0.807808,0.603077,0.704396,0.488987,0.916039,0.531755,0.228498,0.059791,0.093784,1
0.203493,0,0.051256,0.499805,0.241348,0.025913,0,0.48109,0.005891,1,0,1,0.000055,0.226217,0,1,0.754714,0.985066,1,0.990868,0.687919,0.892278,1,0.59103,0.523897,0.575829,0.632029,0.529146,1,0.080618,0.785582,0.516599,1,0.001321,0.783682,0.207333,0.41203,0.26776,0.330903,1,0.999192,0.834649,0.261106,0.990849,0.688057,0.859665,0,0.611927,1,0.516557,1,0.826352,0.244194,0.699818,0.289564,0.734628,0.195028,0.831618,0.243641,0.136603,1,0.284762,0
0.446503,0.326719,0.234096,0.147397,0,0,0,0,0,0.020715,0,0,0,0.009135,0.466071,0.225111,0.275471,0.241125,0.254561,0.292119,0.277187,0.246339,0.316244,0.517597,0.395467,0.56589,0.529635,0.297893,0.166806,0.409854,0.279333,0.347306,0.203256,0.349322,0.340251,0.547882,0.303931,0.739076,0.518611,0.701476,0.907398,0.489577,0.471082,0.292536,0.276112,0.717095,0.539463,0.465701,0.218219,0.348989,0.199945,0.957727,0.462309,0.825204,0.53882,0.888289,0.353903,0.937997,0.473967,0.135294,0.019437,0.123327,0
0.298494,0,0,0.715855,0.170036,0.488554,0,0,0.002854,0.11733,0,0,0.240457,0.488645,0,0.592942,0.615571,0.545385,0.639823,0.646428,0.696888,0.485841,0.723876,0.486816,0.541171,0.42836,0.561905,0.506806,0.823855,0.184752,0.697337,0.531459,0.809262,0.160174,0.718893,0.320997,0.833534,0.082882,0.600991,0.959628,0.986711,0.770502,0.401717,0.646503,0.697033,0.893636,0.456585,0.709948,0.820734,0.531565,0.809614,0.951226,0.311173,0.7706,0.385733,0.782462,0.268588,0.915699,0.32457,0.22415,1,0.43723,1
0.464814,0.504758,0.059259,0.627794,0.240939,0.421331,0.001092,0.0504,0.021059,0.070877,0.002959,0,0.111732,0.217556,0.142081,0.185994,0.409077,0.135075,0.260947,0.327545,0.499569,0.195169,0.408989,0.72896,0.778871,0.585314,0.829536,0.369464,0.536394,0.223481,0.481959,0.490109,0.490546,0.335349,0.561205,0.688417,0.711507,0.595426,0.801063,0.503225,0.906526,0.630405,0.548692,0.337738,0.479732,0.650431,0.477461,0.618383,0.300201,0.496218,0.481164,0.895785,0.514547,0.787493,0.587777,0.882518,0.370825,0.903524,0.512229,0.178957,0.399333,0.424606,1
0.407628,0.305774,0.121871,0.562066,0,0,0,0,0,0.015188,0,0,0.008051,0.018051,0.310953,0.126124,0.228589,0.139867,0.163335,0.231055,0.268956,0.178372,0.264462,0.397194,0.344984,0.442594,0.422074,0.182936,0.256473,0.192537,0.234888,0.252655,0.244201,0.19048,0.285852,0.359939,0.267169,0.551068,0.371308,0.628852,0.917449,0.63252,0.596903,0.231528,0.267702,0.681256,0.532804,0.58519,0.35813,0.254723,0.246391,0.943029,0.428636,0.838433,0.484145,0.875281,0.327891,0.928789,0.43699,0.108863,0.286439,0.094076,0
0,0,1,0,0,0,0,0,0,0,0,0.001405,0,0.000691,0,0,0,0.084145,0,0,0,0.020211,0,0,0,0.155117,0,0.044052,0.113189,0.120242,0.077713,0.144744,0.214868,0.064615,0.193589,0.099551,0.200695,0.302214,0.160179,0,0,0,0,0,0,0.744711,0.808193,0.910564,0.297235,0.14467,0.214349,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0.430444,0.896769,0,0,0,0,0,0,0,0.107737,0,0.022818,0,0,0,0.084145,0,0,0,0.020211,0,0,0,0.155117,0,0.558666,0.786808,0.280215,0.718787,0.616263,0.947294,0.175546,0.837146,0.469299,0.584004,0.439529,0.590954,0,0,0,0,0,0,0.950067,0.876444,0.687787,0.27603,0.616295,0.947137,0,0,0,0,0,0,0,0,0,1,1,0
0.817622,0.467009,0.064469,0.136332,0,0,0,0,0,0.048406,0,0,0,0.039086,0.494806,0.205893,0.319904,0.198229,0.251783,0.610929,0.544748,0.507679,0.651312,0.615019,0.480097,0.636392,0.633165,0.277484,0.212998,0.348382,0.283892,0.699323,0.47631,0.631037,0.711791,0.594533,0.373112,0.740832,0.5824,0.698527,0.975217,0.784419,0.335078,0.61092,0.544897,0.738873,0.870095,0.757001,0.105745,0.699255,0.476111,0.977917,0.829088,0.822392,0.990043,0.73136,0.787109,0.953315,0.853967,0.450788,0.280052,0.40535,1
0.280019,0.159593,0.20726,0.436183,0.17149,0.003942,0,0.012534,0.011294,0,0,0,0.010122,0.011646,1,0.11648,0.13721,0.167685,0.130232,0.172326,0.114627,0.173963,0.17247,0.325468,0.159994,0.472682,0.299622,0.170539,0.149432,0.257351,0.182096,0.22183,0.166044,0.205225,0.231735,0.34318,0.23176,0.558331,0.343607,0.626212,0.905887,0.547141,0.587083,0.173002,0.112802,0.67922,0.576032,0.519917,0.32669,0.22285,0.164628,0.855955,0.324404,0.736967,0.378372,0.613562,0.321323,0.84935,0.328266,0.365018,0.243236,0.556006,0
0.798323,0.142291,0,0.419452,0,0,0,0,0,0.000739,0,0,0,0.000582,0.388524,0.028316,0.133786,0.06086,0.059673,0.103295,0.228825,0.045709,0.149519,0.081027,0.209289,0.120917,0.138448,0.039268,0.071595,0.14547,0.057223,0.129819,0.150586,0.090964,0.156867,0.086584,0.116689,0.350166,0.113083,0.686505,0.894546,0.829886,0.991804,0.103458,0.228391,0.711335,0.618028,0.824411,0.61946,0.129845,0.149794,0.979406,0.808287,0.850064,0.935205,0.689571,0.815104,0.936924,0.848397,0.728126,0.198133,0.389583,1
0.861645,0.426879,0.044505,0.131239,0,0,0,0,0,0.006201,0,0,0,0.005277,0.127857,0.097458,0.320994,0.064541,0.16648,0.314869,0.560255,0.155083,0.416219,0.254862,0.527875,0.134717,0.386328,0.11724,0.224135,0.131542,0.175114,0.354022,0.445629,0.182379,0.441698,0.235862,0.378582,0.325484,0.335569,0.721822,0.953346,0.878875,0.569013,0.31489,0.560319,0.74812,0.850603,0.884752,0.282731,0.35392,0.44536,0.984959,0.867481,0.915332,0.937411,0.775057,0.782723,0.97239,0.882293,0.460426,0.270512,0.234938,1
1,0.203312,0,0,0,0,0,0,0,0,0,0,0,0,0.193265,0.009947,0.052509,0.073573,0.0225,0.050159,0.084422,0.043706,0.064913,0.024619,0.081639,0.132663,0.048867,0.012489,0.004266,0.161551,0.010589,0.061911,0.026928,0.088193,0.056951,0.02417,0.009385,0.358844,0.021055,0.720823,0.921912,0.930242,0.735491,0.0504,0.084072,0.742036,0.711834,0.920351,0.431651,0.062026,0.026139,0.99163,1,0.995819,1,0.704066,1,0.995692,1,0.715495,0.195565,0.301731,0
0.449317,0.184742,0.187642,0.494237,0.242032,0.416662,0.00477,0.022741,0.03322,0,0,0,0,0,0.251202,0.166391,0.189645,0.20624,0.184262,0.550024,0.379437,0.505299,0.554396,0.838858,0.37288,1,0.757363,0.330982,0.277363,0.369294,0.348208,0.758392,0.447003,0.732894,0.744246,0.768046,0.340997,0.9638,0.688448,0.58681,0.97128,0.813811,0.250265,0.550014,0.379514,0.676091,0.698448,0.779735,0.062611,0.758324,0.446783,0.982391,0.453543,0.885749,0.505153,0.728609,0.434183,0.958133,0.46693,0.123101,0.615059,0.58342,1
0,0,0.936624,0,0.125109,0,0,0.005822,0,0,0,0.08797,0,0.040542,0,0,0,0.084145,0,0,0,0.020211,0,0,0,0.155117,0,0.141146,0.350931,0.06676,0.244172,0.363073,0.598101,0.08394,0.509121,0.253788,0.573109,0.200569,0.436215,0,0,0,0,0,0,0.739214,0.770378,0.838687,0.539626,0.362971,0.597905,0,0,0,0,0,0,0,0,0,1,1,0
0.403342,0,0.787923,0,0,0,0,0,0,0.038373,0,0.039426,0,0.015285,0,0.293756,0.432628,0.25724,0.352592,0.540517,0.613903,0.396564,0.614264,0.811887,0.690381,0.752617,0.857171,0.350015,0.239876,0.422395,0.346255,0.584239,0.381185,0.543191,0.587994,0.718901,0.399568,0.863649,0.68084,0.663954,0.954651,0.624425,0.439508,0.540657,0.613409,0.700982,0.827265,0.609578,0.162948,0.584267,0.38058,0.905668,0.441626,0.820826,0.489331,0.703604,0.403607,0.919072,0.436968,0.489667,1,0.437205,0
0.598939,0.340128,0.400891,0,0,0,0,0,0,0.033778,0,0,0,0.01998,0.702049,0.036656,0.28641,0.004856,0.108831,0.285791,0.391194,0.191474,0.343975,0.082758,0.393585,0,0.209167,0.037505,0.152342,0.082121,0.089184,0.314492,0.243723,0.275165,0.331845,0.062454,0.205036,0.256431,0.136361,0.744889,0.984541,1,0.272051,0.285795,0.39138,0.770659,0.976513,1,0,0.314351,0.243444,0.981982,0.604824,0.888334,0.671408,0.732498,0.575692,0.96827,0.615901,0.21611,0.243632,0.605574,1
0.452301,0.208254,0.041081,0.325349,0.091621,0.016239,0,0.022648,0.001302,0.068156,0.004205,0.288857,0.500262,0.447704,0.110658,0.537832,0.669249,0.454382,0.611289,0.583789,0.718931,0.403428,0.679542,0.243161,0.504482,0.13509,0.368908,0.693047,0.670693,0.542795,0.766096,0.775776,0.640911,0.615714,0.834378,0.3008,0.751525,0.121052,0.549775,0.982824,0.990532,0.914664,0.315024,0.583907,0.719152,0.967638,0.864059,0.89557,0.325853,0.775958,0.641224,0.95201,0.471125,0.778927,0.578244,0.870607,0.365779,0.932196,0.483109,0.133551,0.089023,0.084182,1
1,0.278194,0,0,0,0,0,0,0,0.000921,0,0,0,0.00091,0.075778,0.167017,0.204602,0.200518,0.188929,0.233847,0.304368,0.166893,0.276925,0.399955,0.365808,0.432276,0.431951,0.232091,0.133501,0.349454,0.219087,0.295633,0.214002,0.271039,0.305935,0.428844,0.250115,0.642829,0.411472,0.704611,0.900798,0.518151,0.491484,0.234464,0.302927,0.725233,0.626574,0.497723,0.224829,0.296273,0.212358,0.99163,1,0.995819,1,0.704066,1,0.995692,1,0.715495,0.274634,0.301731,0
0.713511,1,0,0,0,0,0,0,0,0.021072,0,0,0,0.014848,0.124485,0.058511,0.261375,0.042572,0.119102,0.14548,0.29579,0.067149,0.202949,0.155951,0.375282,0.107696,0.256093,0.060339,0.156543,0.108643,0.107064,0.139147,0.20918,0.061113,0.187146,0.123075,0.23017,0.307144,0.189892,0.705316,0.925909,0.825961,0.66208,0.145692,0.295823,0.658083,0.416579,0.693731,0.784681,0.139276,0.20873,0.958742,0.737987,0.810878,0.876245,0.795377,0.631598,0.930576,0.763438,0.276493,0.347942,0.260381,0
0.421765,0.119974,0.624144,0,0,0,0,0,0,0.003582,0,0,0,0.001492,0.555623,0.055768,0.284854,0.029012,0.123486,0.16453,0.413706,0.040327,0.252341,0.153895,0.443433,0.059465,0.280261,0.038238,0.129,0.100724,0.080103,0.109856,0.238309,0,0.17686,0.076076,0.211912,0.266909,0.148946,0.720249,0.9499,0.890988,0.518336,0.164601,0.41366,0.70226,0.503715,0.788351,0.760452,0.109998,0.237631,0.901083,0.464147,0.762884,0.550544,0.810564,0.36635,0.896326,0.468521,0.235468,0.377244,0.240507,0
0.586427,0.281043,0.102975,0.080975,0.335172,0,0,0.03613,0,0.038018,0,0,0,0.022018,0.106064,0.154985,0.398566,0.101542,0.233534,0.357776,0.405617,0.269631,0.406379,0.382923,0.523306,0.304796,0.478775,0.162633,0.272944,0.153674,0.227299,0.365435,0.32697,0.28416,0.403012,0.29189,0.371643,0.394916,0.371369,0.710101,0.953607,0.77221,0.453115,0.357772,0.405736,0.751425,0.846635,0.821645,0.2347,0.3653,0.326689,0.973728,0.597208,0.869776,0.671408,0.766884,0.53839,0.948067,0.615885,0.215813,0.181692,0.167953,1
0.808848,0.952988,0.180023,0,0,0,0,0,0,0.104377,0,0,0,0.083376,0.453209,0.159721,0.430386,0.093549,0.246149,0.5491,0.624308,0.402267,0.624207,0.480009,0.627425,0.361834,0.589401,0.211906,0.295236,0.200905,0.271322,0.656738,0.467007,0.579716,0.676285,0.487177,0.431423,0.57413,0.534211,0.707325,0.973418,0.827516,0.395379,0.549108,0.624581,0.728499,0.917228,0.812083,0.129505,0.656672,0.466904,0.942518,0.850995,0.939042,0.857752,0.713546,0.798103,0.935038,0.861316,0.32686,0.500957,0.443395,1
0.580886,0.62858,0.457849,0,0,0,0,0,0,0.022648,0,0,0,0.012992,0.138538,0.051519,0.311612,0.012177,0.127595,0.269563,0.399768,0.16893,0.333314,0.122135,0.44634,0.016098,0.258002,0.045495,0.169365,0.079642,0.101836,0.241762,0.304633,0.131714,0.301761,0.081393,0.242984,0.249768,0.166728,0.741742,0.977258,0.96805,0.319293,0.269567,0.39996,0.766062,0.934898,0.967561,0.136832,0.241622,0.304354,0.922182,0.624632,0.885959,0.652916,0.687688,0.594721,0.908032,0.636963,0.182116,0.266675,0.254021,1
0.2455,0.060955,0.058316,0.855667,0,0,0,0,0,0.189282,0,0.005073,0.288554,0.697212,0.040033,0.577585,0.813786,0.440481,0.682991,0.609061,0.808553,0.39566,0.725816,0.34055,0.572545,0.216621,0.46617,0.649695,0.787794,0.397865,0.783588,0.711657,0.698805,0.486199,0.809525,0.31866,0.940785,0,0.647987,0.964047,0.963036,0.838808,0.582145,0.609314,0.809053,0.944103,0.76141,0.829724,0.659712,0.711864,0.698829,0.941769,0.258498,0.861761,0.28369,0.827516,0.208876,0.918951,0.266001,0.115527,0.543892,0.53827,1
0.433336,0.167897,0.064181,0.37362,0.313209,0.023875,0,0.686232,0.01169,0.029764,0,0,0.036153,0.048366,0.248417,0.072316,0.316908,0.035427,0.145491,0.346908,0.471049,0.229682,0.416439,0.154229,0.421248,0.074729,0.272148,0.073437,0.285858,0.0279,0.169512,0.336628,0.408213,0.185841,0.413821,0.119399,0.389453,0.183816,0.259545,0.746661,0.983058,0.95506,0.330591,0.346931,0.471433,0.739552,0.78146,0.882966,0.597427,0.336557,0.408194,0.947731,0.453408,0.721635,0.59798,0.848027,0.359773,0.917685,0.470171,0.144741,0.474389,0.456015,1
0.499917,0.979923,0.118806,0.332547,0.427157,0.01575,0,0.064252,0.109195,0.079346,0,0.040466,0.426548,0.420482,0.120933,0.786908,0.543586,0.814922,0.772876,0.838438,0.5689,0.763617,0.842364,0.584719,0.421889,0.635777,0.58895,1,0.594025,1,0.951706,0.995985,0.525373,1,0.952871,0.57378,0.697906,0.474152,0.715214,0.968599,0.99755,0.780851,0.239544,0.838456,0.569104,0.988727,0.975804,0.783638,0.221536,0.996039,0.525368,0.813905,0.609079,0.691644,0.719772,0.708996,0.496441,0.838623,0.593548,0.247343,0.43467,0.442685,1
0.410084,0.286168,0.109785,0.657459,0.096475,0,0,0.150373,0.015876,0.056696,0.00612,0.075445,0.117937,0.220613,0.349764,0.609106,0.779676,0.49401,0.698361,0.764894,0.899144,0.540137,0.878015,0.342311,0.461139,0.293378,0.425485,0.636054,0.726659,0.42635,0.748795,0.748456,0.795175,0.466368,0.87535,0.279466,0.576923,0.22716,0.455793,0.927152,0.979924,0.879761,0.452054,0.7649,0.899297,0.931921,0.81068,0.855418,0.490031,0.748485,0.795167,0.90611,0.448789,0.757223,0.539299,0.877006,0.329219,0.870276,0.469182,0.119429,0.425465,0.234176,1
0.450422,0.668606,0.241373,0.396421,0.016599,0.062551,0.334036,0,0,0.136956,0.134501,0.186307,0,0.08323,0.277095,0.766588,0.62232,0.755783,0.778796,0.807612,0.684383,0.679495,0.850697,0.716448,0.432396,0.800565,0.689776,0.905154,0.660867,0.826099,0.912101,0.894453,0.718928,0.720889,0.954051,0.588806,0.402843,0.712032,0.591896,0.957972,0.990902,0.6952,0.34716,0.807809,0.683548,0.988159,0.980782,0.734726,0.097925,0.894544,0.718615,0.895824,0.498594,0.82775,0.541877,0.760513,0.416991,0.883749,0.507476,0.15899,0.469858,0.336142,1
