@relation microarray.txt

@attribute Score numeric
@attribute AlignLen numeric
@attribute totalMFE numeric
@attribute seedMFE numeric
@attribute totalGC numeric
@attribute totalAU numeric
@attribute totalGU numeric
@attribute totalGaps numeric
@attribute totalMismatches numeric
@attribute seedGC numeric
@attribute seedAT numeric
@attribute seedGU numeric
@attribute seedMismatches numeric
@attribute Pos_1 numeric
@attribute Pos_2 numeric
@attribute Pos_3 numeric
@attribute Pos_4 numeric
@attribute Pos_5 numeric
@attribute Pos_6 numeric
@attribute Pos_7 numeric
@attribute Pos_8 numeric
@attribute Pos_9 numeric
@attribute Pos_10 numeric
@attribute Pos_11 numeric
@attribute Pos_12 numeric
@attribute Pos_13 numeric
@attribute Pos_14 numeric
@attribute Pos_15 numeric
@attribute Pos_16 numeric
@attribute Pos_17 numeric
@attribute Pos_18 numeric
@attribute Pos_19 numeric
@attribute Pos_20 numeric
@attribute Class {Target,Non-Target}

@data
160,19,-28.4,-19.5,6,9,0,0,5,4,3,0,0,2,2,1,1,2,1,1,2,1,2,5,5,2,2,5,1,5,5,2,2,Target
154,17,-27.5,-20.9,6,7,2,2,3,4,3,0,0,5,1,2,1,1,2,2,1,4,2,4,2,3,1,3,2,1,2,5,5,Target
153,18,-28.2,-20.9,5,9,1,1,4,4,3,0,0,2,1,2,1,1,2,2,1,4,2,2,1,3,5,5,5,2,2,2,5,Target
143,23,-27.5,-20.9,5,7,3,4,1,4,3,0,0,2,1,2,1,1,2,2,1,4,4,4,4,2,2,3,1,3,5,3,2,Target
155,16,-23.6,-19.5,5,9,1,1,4,4,3,0,0,2,2,1,1,2,1,1,2,5,1,5,2,2,2,4,2,2,5,5,3,Target
146,13,-20.9,-19.5,5,6,1,0,8,4,3,0,0,5,2,1,1,2,1,1,2,5,1,5,5,2,2,5,5,3,2,5,5,Target
171,20,-26.2,-19.5,5,10,1,1,3,4,3,0,0,5,2,1,1,2,1,1,2,4,1,5,2,2,2,2,2,2,2,5,3,Target
152,19,-29.4,-19.5,7,8,0,3,2,4,3,0,0,2,2,1,1,2,1,1,2,1,4,4,4,2,5,5,2,2,2,1,1,Target
144,19,-20.6,-17.4,5,7,3,0,5,3,3,1,0,5,2,1,1,2,3,1,2,1,5,2,5,5,2,2,2,3,5,1,3,Target
143,18,-22,-19.5,4,6,4,0,6,4,3,0,0,3,2,1,1,2,1,1,2,5,3,5,2,5,5,2,5,2,3,3,5,Target
142,9,-25.8,-19.5,7,3,3,0,7,4,3,0,0,3,2,1,1,2,1,1,2,5,1,5,5,5,5,3,5,3,5,1,1,Target
165,18,-26.7,-19.5,6,9,1,1,3,4,3,0,0,3,2,1,1,2,1,1,2,4,1,2,2,5,2,5,2,2,2,1,5,Target
149,18,-27.9,-19.5,6,8,0,1,5,4,3,0,0,2,2,1,1,2,1,1,2,4,1,2,5,5,5,2,2,2,5,1,5,Target
146,19,-22.94,-19.5,6,7,2,4,1,4,3,0,0,5,2,1,1,2,1,1,2,1,4,4,1,3,2,4,4,2,2,3,2,Target
141,20,-22,-15.1,4,11,1,3,1,4,2,0,1,2,5,1,1,2,1,1,2,4,3,2,2,2,4,4,2,2,2,2,2,Target
168,19,-26.4,-20.9,7,8,0,0,5,4,3,0,0,5,1,2,1,1,2,2,1,2,2,1,5,5,2,1,2,5,2,5,1,Target
159,20,-27.2,-20.9,6,8,0,1,5,4,3,0,0,5,1,2,1,1,2,2,1,2,2,5,5,5,5,1,2,2,4,2,1,Target
157,18,-30.9,-20.9,6,7,4,1,2,4,3,0,0,2,1,2,1,1,2,2,1,4,2,3,3,2,3,1,5,2,3,1,5,Target
152,11,-26.1,-20.9,7,4,3,0,6,4,3,0,0,5,1,2,1,1,2,2,1,3,2,3,1,5,5,1,5,5,5,3,1,Target
151,18,-23.2,-20.9,6,6,1,0,7,4,3,0,0,5,1,2,1,1,2,2,1,5,5,5,5,2,2,1,3,2,5,1,5,Target
154,17,-21.7,-19.5,4,9,1,0,6,4,3,0,0,2,2,1,1,2,1,1,2,5,5,2,2,5,2,2,5,3,2,5,5,Target
144,19,-24.4,-17.4,4,9,3,0,4,3,3,1,0,2,2,1,1,2,3,1,2,5,1,2,2,5,2,5,5,2,2,3,3,Target
147,22,-30,-17.4,4,8,4,3,1,3,3,1,0,3,2,1,1,2,3,1,2,1,3,2,2,4,4,4,2,2,5,2,3,Target
141,15,-23.66,-15.1,5,8,1,0,6,4,2,0,1,2,5,1,1,2,1,1,2,1,5,2,5,2,2,5,2,2,5,3,5,Target
144,19,-30.8,-20.5,6,7,3,0,4,4,2,1,0,2,1,2,1,1,3,2,1,2,5,5,3,3,5,5,2,2,2,1,1,Target
142,9,-24.12,-19.5,5,5,1,0,9,4,3,0,0,2,2,1,1,2,1,1,2,5,1,5,5,5,5,2,5,5,3,5,5,Target
140,7,-23.64,-19.5,4,6,4,0,6,4,3,0,0,2,2,1,1,2,1,1,2,5,3,3,5,5,5,5,2,2,3,5,3,Target
146,20,-26.6,-19.5,6,5,4,2,3,4,3,0,0,3,2,1,1,2,1,1,2,4,4,1,1,3,2,5,5,5,2,3,3,Target
162,19,-28.1,-19.5,7,7,3,1,2,4,3,0,0,3,2,1,1,2,1,1,2,4,1,3,5,2,2,3,2,2,5,1,1,Target
158,17,-22,-19.5,4,8,3,0,5,4,3,0,0,3,2,1,1,2,1,1,2,5,3,2,5,2,2,2,5,2,3,5,5,Target
151,10,-29.9,-19.5,6,6,2,0,6,4,3,0,0,3,2,1,1,2,1,1,2,1,3,2,5,5,5,2,5,5,2,1,5,Target
161,21,-33.3,-20.9,6,9,1,3,1,4,3,0,0,2,1,2,1,1,2,2,1,1,4,4,2,5,3,2,2,1,2,4,2,Target
161,18,-31.7,-20.9,7,8,1,1,3,4,3,0,0,2,1,2,1,1,2,2,1,1,4,1,1,2,2,3,5,5,2,2,5,Target
154,18,-31.5,-20.9,8,6,0,4,2,4,3,0,0,5,1,2,1,1,2,2,1,1,4,4,4,4,2,1,1,2,2,1,5,Target
152,11,-30.6,-20.9,6,5,2,0,7,4,3,0,0,2,1,2,1,1,2,2,1,1,2,3,3,5,5,1,5,5,5,5,5,Target
145,18,-22.7,-18.3,5,8,3,1,3,3,3,1,0,3,3,2,1,1,2,2,1,1,5,1,5,2,2,3,2,4,2,2,5,Target
140,7,-23.7,-20.9,5,4,1,4,6,4,3,0,0,2,1,2,1,1,2,2,1,5,5,5,1,3,5,5,5,4,4,4,4,Target
145,8,-27.9,-19.5,6,4,1,0,9,4,3,0,0,3,2,1,1,2,1,1,2,1,5,5,5,5,5,2,5,5,5,5,1,Target
160,20,-28.3,-16.9,8,8,0,3,1,3,4,0,0,1,2,2,2,1,2,1,1,2,4,2,1,4,4,2,1,1,2,5,1,Target
166,20,-31.4,-16.9,8,8,0,2,2,3,4,0,0,1,2,2,2,1,2,1,1,2,2,2,4,4,1,2,5,1,5,1,1,Target
164,21,-25.3,-16.9,7,7,1,1,4,3,4,0,0,5,2,2,2,1,2,1,1,5,3,5,1,2,1,4,2,1,1,2,5,Target
145,12,-22.2,-14.7,3,8,4,0,5,2,4,1,0,5,2,2,2,3,2,1,1,3,2,2,1,2,5,3,5,5,2,3,5,Target
161,19,-33.5,-16.9,9,6,2,2,1,3,4,0,0,1,2,2,2,1,2,1,1,2,4,4,1,5,1,3,1,1,2,1,3,Target
147,24,-26.8,-16.3,4,7,1,4,4,2,5,0,0,5,2,1,2,2,2,1,2,2,5,5,4,4,4,1,2,4,3,5,1,Target
181,22,-32.1,-17.8,6,10,1,0,3,3,4,0,0,5,2,2,1,1,1,2,2,2,1,1,3,2,1,2,2,5,2,5,2,Target
164,24,-25,-17.8,7,7,0,3,3,3,4,0,0,5,2,2,1,1,1,2,2,2,1,1,5,5,1,4,4,2,2,1,4,Target
159,14,-24.7,-17.8,5,7,2,0,6,3,4,0,0,2,2,2,1,1,1,2,2,3,3,1,5,2,1,2,5,5,5,5,5,Target
160,15,-24.3,-17.8,5,8,1,0,6,3,4,0,0,2,2,2,1,1,1,2,2,5,1,5,3,2,1,2,2,5,5,5,5,Target
154,19,-22.2,-17.8,4,10,2,1,3,3,4,0,0,2,2,2,1,1,1,2,2,5,3,3,4,2,1,2,2,5,2,5,2,Target
145,18,-21,-21.7,8,4,1,1,6,5,2,0,0,5,2,1,2,1,1,1,1,4,2,5,5,2,5,1,3,1,5,1,5,Target
160,19,-21.6,-20.9,7,7,0,0,6,4,3,0,0,5,1,2,1,1,2,2,1,5,2,1,5,5,2,1,2,5,2,5,1,Target
158,19,-28.3,-20.9,7,7,1,1,4,4,3,0,0,5,1,2,1,1,2,2,1,1,5,5,5,2,2,1,3,2,4,2,1,Target
153,19,-23.9,-20.9,6,8,0,2,4,4,3,0,0,5,1,2,1,1,2,2,1,5,2,4,4,2,2,1,5,5,2,2,1,Target
152,17,-29.5,-20.9,5,7,4,1,3,4,3,0,0,2,1,2,1,1,2,2,1,3,2,3,4,2,3,1,5,2,3,5,5,Target
148,11,-23.2,-20.9,7,5,1,0,7,4,3,0,0,5,1,2,1,1,2,2,1,5,2,3,1,5,5,1,5,5,5,2,1,Target
146,19,-29.6,-19.3,7,7,3,1,2,3,3,1,0,2,1,2,1,1,2,2,3,1,5,1,1,2,4,3,2,5,3,2,1,Target
141,10,-24.3,-21.7,6,3,1,1,9,5,2,0,0,5,2,1,2,1,1,1,1,4,2,1,5,5,5,5,3,5,5,5,5,Target
146,9,-21.9,-21.7,6,4,1,0,9,5,2,0,0,5,2,1,2,1,1,1,1,3,2,5,5,5,5,1,2,5,5,5,5,Target
153,24,-26.7,-17.9,4,9,1,4,2,3,4,0,0,5,2,2,1,2,1,2,1,2,5,4,2,1,3,2,4,4,4,2,2,Target
153,16,-23.8,-17.9,4,9,2,0,5,3,4,0,0,2,2,2,1,2,1,2,1,5,5,2,3,3,2,2,5,1,5,5,2,Target
152,19,-26.8,-17.9,4,10,2,3,1,3,4,0,0,2,2,2,1,2,1,2,1,2,4,4,4,3,3,2,2,5,1,2,2,Target
150,23,-28.1,-17.9,6,9,0,4,1,3,4,0,0,2,2,2,1,2,1,2,1,5,4,4,1,2,1,1,2,4,4,2,2,Target
148,13,-25.5,-17.9,5,7,0,1,7,3,4,0,0,2,2,2,1,2,1,2,1,2,5,4,2,1,1,5,5,5,5,5,5,Target
147,14,-21.7,-17.9,3,8,3,0,6,3,4,0,0,2,2,2,1,2,1,2,1,2,5,3,3,3,5,2,5,5,5,5,2,Target
141,14,-17.7,-17.9,4,6,1,1,8,3,4,0,0,5,2,2,1,2,1,2,1,5,5,2,4,3,1,2,5,5,5,5,5,Target
158,20,-22.7,-16,4,10,2,2,2,2,5,0,0,2,2,2,2,2,1,2,1,5,1,5,3,3,4,4,2,2,2,2,1,Target
153,20,-20.6,-16,6,8,0,2,4,2,5,0,0,5,2,2,2,2,1,2,1,5,4,1,2,1,1,4,2,5,2,1,5,Target
149,20,-22.2,-16,4,9,0,3,4,2,5,0,0,5,2,2,2,2,1,2,1,5,5,4,4,4,2,1,1,2,2,5,2,Target
149,20,-21.34,-16,4,10,0,3,3,2,5,0,0,2,2,2,2,2,1,2,1,4,4,4,1,5,2,5,1,2,2,5,2,Target
148,13,-22.3,-16,5,7,1,1,6,2,5,0,0,2,2,2,2,2,1,2,1,5,1,4,2,1,1,5,5,5,3,5,5,Target
145,18,-23.7,-14.7,4,9,3,1,3,1,5,1,0,3,2,2,2,2,1,2,3,1,4,2,1,1,5,2,2,5,3,2,5,Target
143,14,-20.5,-16,3,8,2,0,7,2,5,0,0,2,2,2,2,2,1,2,1,5,5,3,3,5,2,2,5,5,1,5,5,Target
165,18,-30.7,-16,7,9,0,1,3,2,5,0,0,2,2,2,2,2,1,2,1,1,1,5,1,1,2,5,4,2,1,2,5,Target
164,19,-24.3,-16,4,11,1,0,4,2,5,0,0,2,2,2,2,2,1,2,1,5,5,5,1,1,2,2,2,5,3,2,2,Target
157,18,-22.7,-16,3,10,2,1,4,2,5,0,0,5,2,2,2,2,1,2,1,5,4,2,3,3,2,5,2,2,1,2,5,Target
147,16,-22,-16,5,9,1,1,4,2,4,1,0,5,2,2,3,2,1,2,1,5,4,1,2,1,1,2,2,2,5,5,2,Target
146,13,-28.2,-16,5,7,1,0,7,2,4,1,0,2,2,2,3,2,1,2,1,5,1,2,1,1,2,5,5,5,5,5,5,Target
146,17,-17.4,-16,4,8,2,3,3,2,5,0,0,5,2,2,2,2,1,2,1,4,4,4,3,1,5,2,2,2,1,5,3,Target
143,16,-19,-16,3,9,2,1,5,2,5,0,0,2,2,2,2,2,1,2,1,5,5,5,3,1,4,2,2,2,5,3,5,Target
142,21,-22.5,-16,5,7,3,2,3,2,4,1,0,5,2,2,3,2,1,2,1,5,4,1,2,1,1,2,5,2,4,3,3,Target
140,7,-17.6,-16,3,8,0,0,9,2,5,0,0,5,2,2,2,2,1,2,1,5,5,5,5,1,5,2,5,2,5,2,5,Target
171,20,-35,-16,7,9,1,1,2,2,5,0,0,2,2,2,2,2,1,2,1,1,1,3,1,1,2,5,4,2,1,2,5,Target
168,19,-25.3,-16,4,11,2,0,3,2,5,0,0,2,2,2,2,2,1,2,1,5,5,3,1,1,2,2,2,5,3,2,2,Target
160,20,-25.6,-16,3,11,1,4,1,2,5,0,0,5,2,2,2,2,1,2,1,4,4,4,4,3,2,2,2,2,1,2,2,Target
151,23,-21.7,-16,3,9,3,3,2,2,5,0,0,2,2,2,2,2,1,2,1,5,5,3,3,1,4,2,2,2,4,4,3,Target
147,18,-21.3,-16,4,8,0,0,8,2,5,0,0,5,2,2,2,2,1,2,1,5,5,1,5,1,5,2,5,2,5,2,5,Target
146,17,-19.8,-16,4,8,2,3,3,2,5,0,0,5,2,2,2,2,1,2,1,4,4,4,3,1,5,2,2,2,1,5,3,Target
144,22,-25,-15.4,4,7,4,2,3,2,4,1,0,3,2,2,2,2,1,3,1,5,5,1,3,3,2,4,4,2,2,5,1,Target
143,20,-27.2,-16,6,8,1,1,4,2,4,1,0,2,2,2,3,2,1,2,1,5,1,5,1,1,2,5,4,2,1,5,2,Target
140,22,-24.1,-16,5,5,4,2,4,2,4,1,0,5,2,2,3,2,1,2,1,4,4,1,5,1,1,5,3,2,5,3,3,Target
172,15,-28.3,-20.9,7,8,0,0,5,4,3,0,0,5,1,2,1,1,2,2,1,2,2,1,2,5,2,1,2,5,5,5,1,Target
161,16,-22.6,-20.9,6,8,0,0,6,4,3,0,0,5,1,2,1,1,2,2,1,2,2,5,2,5,5,1,2,2,5,5,1,Target
158,19,-24.8,-20.9,6,8,1,1,4,4,3,0,0,5,1,2,1,1,2,2,1,5,5,5,2,2,2,1,3,2,4,2,1,Target
152,17,-26.5,-20.9,6,7,2,1,4,4,3,0,0,2,1,2,1,1,2,2,1,5,2,3,2,3,4,1,5,2,1,5,5,Target
147,10,-21.3,-20.9,6,5,2,0,7,4,3,0,0,5,1,2,1,1,2,2,1,3,2,3,5,5,5,1,5,5,5,2,1,Target
140,15,-25,-14.7,4,7,3,0,6,1,5,1,0,1,2,1,2,2,2,2,3,5,2,3,5,3,1,2,1,5,5,5,5,Target
155,10,-19.6,-16,3,8,0,0,9,2,5,0,0,5,2,1,2,2,2,2,1,2,2,2,5,5,5,5,5,1,5,5,5,Target
153,19,-28.3,-18.9,7,8,0,2,3,3,4,0,0,2,1,1,2,2,1,2,2,2,5,1,2,4,4,1,1,5,5,2,1,Target
152,19,-24.8,-18.9,7,6,2,0,5,3,4,0,0,2,1,1,2,2,1,2,2,2,5,1,5,5,1,5,1,5,3,3,1,Target
140,7,-22.52,-18.9,3,7,1,0,9,3,4,0,0,2,1,1,2,2,1,2,2,5,5,5,2,5,5,3,5,5,5,2,5,Target
159,20,-26.4,-19,4,10,2,1,3,3,4,0,0,2,1,1,2,2,2,1,2,4,2,2,3,5,2,2,3,2,5,5,1,Target
140,7,-22.2,-19,4,5,4,0,7,3,4,0,0,2,1,1,2,2,2,1,2,5,5,5,3,5,5,3,5,1,5,3,3,Target
157,16,-21.7,-16,3,10,2,0,5,2,5,0,0,2,2,1,1,2,2,2,2,5,2,1,2,5,2,3,5,2,5,3,5,Target
140,19,-24.2,-16,6,6,3,0,5,2,4,1,0,3,2,1,1,2,3,2,2,1,5,5,5,1,5,1,5,2,1,3,2,Target
147,20,-20.4,-16,5,10,1,3,1,2,5,0,0,2,2,1,1,2,2,2,2,4,1,5,1,2,4,2,3,2,4,1,2,Target
143,18,-22.5,-15.7,5,9,1,2,3,2,4,1,0,5,2,1,1,2,2,2,3,4,2,5,2,1,2,1,4,2,2,1,5,Target
166,20,-32.8,-20.9,6,9,2,2,1,4,3,0,0,2,1,2,1,1,2,2,1,2,4,4,2,5,2,2,3,1,3,2,1,Target
164,19,-28.9,-20.9,7,7,3,0,3,4,3,0,0,2,1,2,1,1,2,2,1,2,5,3,3,2,5,1,3,2,1,5,1,Target
155,16,-29.1,-20.9,4,9,4,1,2,4,3,0,0,2,1,2,1,1,2,2,1,2,4,2,3,2,3,3,3,2,5,5,2,Target
142,11,-20.1,-20.9,4,6,3,1,6,4,3,0,0,5,1,2,1,1,2,2,1,4,2,2,3,5,5,3,3,5,2,5,5,Target
168,19,-27.1,-16,4,11,2,0,3,2,5,0,0,2,2,1,1,2,2,2,2,1,2,5,5,1,5,3,2,2,3,2,2,Target
147,21,-24.9,-16,6,7,1,2,4,2,4,1,0,5,2,1,1,2,3,2,2,1,5,4,4,1,2,1,2,1,5,2,5,Target
153,20,-23.5,-16,3,11,2,2,2,2,5,0,0,2,2,1,1,2,2,2,2,1,4,2,3,2,5,2,3,4,2,2,5,Target
149,18,-18.1,-16,3,10,2,1,4,2,5,0,0,2,2,1,1,2,2,2,2,5,2,3,2,5,4,2,3,2,5,1,5,Target
154,20,-18.8,-16,3,9,3,2,3,2,5,0,0,5,2,1,1,2,2,2,2,5,2,3,2,1,5,3,4,4,2,2,3,Target
140,7,-14.5,-16,2,8,0,0,10,2,5,0,0,5,2,1,1,2,2,2,2,5,5,5,5,5,5,5,5,2,5,2,2,Target
147,14,-20.7,-16,5,7,1,0,7,2,5,0,0,2,2,1,1,2,2,2,2,5,5,3,2,1,5,1,5,5,1,5,5,Target
140,19,-16.6,-15.7,4,10,1,2,3,2,4,1,0,5,2,1,1,2,2,2,3,4,2,1,5,1,2,4,2,2,5,2,2,Target
140,19,-13.1,-13.9,1,10,4,0,5,1,5,1,0,5,2,3,1,2,2,2,2,5,2,3,2,5,3,3,5,2,5,2,2,Target
140,18,-16.6,-11.6,3,9,2,0,6,2,4,0,1,5,5,1,1,2,2,2,2,1,2,5,2,5,5,3,2,2,3,5,2,Target
140,7,-18.4,-16,4,6,1,0,9,2,5,0,0,3,2,1,1,2,2,2,2,5,5,1,5,5,5,1,5,2,5,5,5,Target
148,19,-21.8,-16,4,9,1,0,6,2,5,0,0,2,2,1,1,2,2,2,2,5,5,5,5,1,2,5,5,2,1,2,3,Target
147,12,-20.9,-16,3,8,3,1,5,2,5,0,0,3,2,1,1,2,2,2,2,4,1,2,3,2,5,5,5,2,5,3,5,Target
146,19,-23.6,-15.7,4,9,3,1,3,2,4,1,0,5,2,1,1,2,2,2,3,1,2,3,4,2,5,5,3,2,2,1,2,Target
141,21,-21.4,-15.7,5,8,1,3,3,2,4,1,0,5,2,1,1,2,2,2,3,1,4,2,1,4,4,2,1,2,5,5,2,Target
140,7,-14.7,-16,3,7,1,0,9,2,5,0,0,5,2,1,1,2,2,2,2,5,5,1,5,5,5,5,5,2,3,2,5,Target
168,19,-25.9,-16,4,10,4,0,2,2,5,0,0,2,2,1,1,2,2,2,2,1,5,3,2,1,3,3,2,3,5,2,2,Target
153,16,-24,-16,3,9,3,0,5,2,5,0,0,2,2,1,1,2,2,2,2,5,5,3,2,1,3,5,2,2,5,3,5,Target
153,20,-26.2,-18,5,9,1,3,2,3,4,0,0,2,2,1,2,1,2,2,1,2,4,4,4,1,2,3,5,5,2,2,1,Target
149,14,-24.3,-18,3,8,4,1,4,3,4,0,0,2,2,1,2,1,2,2,1,4,3,2,3,2,3,2,5,5,5,3,5,Target
146,17,-29,-20.4,9,5,1,2,3,4,3,0,0,1,2,1,2,1,1,1,2,4,2,1,4,1,2,5,5,1,1,5,3,Target
166,20,-33.3,-17.8,7,7,4,2,0,3,4,0,0,3,2,2,1,2,1,2,1,3,1,4,4,1,2,3,2,1,2,1,3,Target
142,9,-25,-22.1,5,6,1,0,8,5,2,0,0,2,1,2,1,1,2,1,1,5,2,5,5,3,5,5,2,5,5,5,2,Target
158,13,-25.5,-18.2,5,8,1,0,6,3,4,0,0,2,2,1,2,1,1,2,2,1,5,2,1,3,2,5,5,5,5,2,5,Target
162,17,-27.8,-21.1,5,9,1,0,5,5,2,0,0,2,2,1,1,2,1,1,1,2,5,2,2,5,2,5,3,2,2,5,5,Target
157,19,-22.2,-21.1,6,8,1,2,3,5,2,0,0,5,2,1,1,2,1,1,1,4,4,3,2,1,2,2,5,2,2,5,2,Target
166,17,-31.8,-19,6,10,1,0,3,4,2,1,0,2,2,3,1,2,1,1,1,2,5,2,2,1,2,2,1,2,2,5,5,Target
153,12,-25.5,-21.1,8,4,1,0,7,5,2,0,0,5,2,1,1,2,1,1,1,2,3,5,2,1,5,5,1,5,5,1,5,Target
143,22,-32.4,-15.2,6,9,0,3,2,4,2,0,1,2,2,5,1,2,1,1,1,2,5,2,2,1,2,2,1,4,4,4,2,Target
142,9,-21.6,-21.1,8,2,0,0,10,5,2,0,0,5,2,1,1,2,1,1,1,5,1,5,5,1,5,5,5,5,5,1,5,Target
141,10,-24.8,-21.1,7,5,0,1,7,5,2,0,0,2,2,1,1,2,1,1,1,4,2,1,5,5,5,5,2,5,5,5,1,Target
146,11,-17.5,-18.5,4,6,1,1,8,3,4,0,0,5,1,1,2,2,1,2,2,2,4,2,1,5,3,5,5,5,5,5,5,Target
145,19,-21.5,-12.6,5,9,0,0,6,2,4,0,1,2,5,1,2,2,1,2,2,2,5,2,1,2,5,1,5,5,5,1,2,Target
141,20,-19.2,-18.5,4,4,6,0,6,3,4,0,0,5,1,1,2,2,1,2,2,5,3,5,5,5,5,1,3,3,3,3,3,Target
148,15,-20.8,-18.5,5,5,2,0,8,3,4,0,0,5,1,1,2,2,1,2,2,3,5,5,5,3,1,1,2,5,5,5,5,Target
140,7,-17.6,-18.5,4,4,4,0,8,3,4,0,0,5,1,1,2,2,1,2,2,5,3,5,5,5,1,5,5,3,3,3,5,Target
149,16,-15.9,-18.5,3,8,2,0,7,3,4,0,0,5,1,1,2,2,1,2,2,5,2,5,3,5,2,2,5,2,5,3,5,Target
144,15,-16.8,-18.5,5,5,3,0,7,3,4,0,0,5,1,1,2,2,1,2,2,5,5,1,3,5,2,5,1,5,3,3,5,Target
154,20,-23.7,-18.5,6,6,3,2,3,3,4,0,0,5,1,1,2,2,1,2,2,1,3,3,4,4,1,1,2,5,5,2,3,Target
146,19,-29.5,-17.9,6,7,5,1,1,3,3,1,0,2,1,1,3,2,1,2,2,5,3,3,1,1,2,2,4,1,2,3,3,Target
140,7,-17.8,-18.5,3,4,5,0,8,3,4,0,0,5,1,1,2,2,1,2,2,5,5,3,3,5,5,5,5,5,3,3,3,Target
158,17,-24.3,-18,4,11,0,0,5,3,4,0,0,2,2,1,2,1,2,2,1,2,5,2,1,5,5,2,2,5,2,5,2,Target
154,19,-27.09,-18,7,7,1,1,4,3,4,0,0,3,2,1,2,1,2,2,1,2,4,1,5,1,5,2,5,5,1,2,1,Target
163,19,-27.4,-18.9,6,11,0,3,0,3,4,0,0,2,1,2,1,2,1,2,2,2,4,4,1,2,1,2,2,2,4,2,1,Target
157,19,-27.9,-22.3,9,5,1,2,3,5,2,0,0,5,1,1,1,2,1,2,1,5,2,4,4,1,1,2,3,1,5,2,1,Target
146,13,-29,-22.3,9,2,1,0,8,5,2,0,0,3,1,1,1,2,1,2,1,5,5,1,5,1,1,5,5,1,5,5,5,Target
143,21,-25.34,-22.3,8,5,0,4,3,5,2,0,0,5,1,1,1,2,1,2,1,5,4,2,5,2,4,4,1,1,2,1,4,Target
142,21,-25.6,-21.4,10,3,1,2,4,5,1,1,0,5,1,1,1,3,1,2,1,5,2,1,5,1,1,4,2,4,1,1,5,Target
140,17,-21.6,-19.4,7,5,2,1,5,4,2,1,0,5,3,1,1,2,1,2,1,5,4,1,2,1,5,2,1,3,2,5,5,Target
140,7,-26.1,-22.3,6,2,2,0,10,5,2,0,0,3,1,1,1,2,1,2,1,5,3,5,5,5,5,5,5,5,5,5,1,Target
142,22,-39.1,-18.2,7,8,0,4,1,3,3,0,1,2,2,1,2,1,2,1,5,4,4,4,4,1,1,1,2,2,2,1,2,Target
