@relation sea.data-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute atr1 numeric
@attribute atr2 numeric
@attribute atr3 numeric
@attribute class {0,1}

@data
0.092542,0.033687,0.596612,0
0.847091,0.270827,0.074238,0
0.57814,0.263883,0.825301,0
0.602548,0.978689,0.386906,1
0.450275,0.333657,0.740682,1
0.95848,0.889159,0.062754,1
0.828341,0.829419,0.29722,1
0.562253,0.590203,0.210298,1
0.623902,0.80694,0.235511,1
0.077759,0.309775,0.995702,1
0.573671,0.821001,0.675728,1
0.799656,0.062626,0.751148,1
0.396304,0.491825,0.773277,1
0.380965,0.836061,0.823513,1
0.665451,0.120725,0.338011,0
0.710937,0.548337,0.882509,1
0.355258,0.118013,0.805837,1
0.427807,0.801538,0.088905,0
0.622511,0.764662,0.177684,1
0.827293,0.928863,0.6721,1
0.420667,0.445372,0.578379,1
0.281418,0.401886,0.010921,0
0.522627,0.348958,0.17456,0
0.897297,0.057061,0.568402,0
0.175102,0.374234,0.685578,1
0.17576,0.774513,0.60439,1
0.53915,0.782103,0.220428,1
0.710935,0.892558,0.590039,1
0.337913,0.168411,0.933247,1
0.570311,0.944199,0.566201,0
0.293142,0.74079,0.326494,1
0.797857,0.894927,0.44299,1
0.269146,0.128561,0.57587,0
0.903076,0.180252,0.243171,0
0.962355,0.463626,0.808675,1
0.356166,0.398709,0.804897,1
0.567133,0.738142,0.313404,1
0.682311,0.879636,0.230371,1
0.620398,0.556893,0.165879,0
0.451798,0.608897,0.391207,1
0.737466,0.967108,0.165841,1
0.14735,0.409038,0.082749,0
0.872667,0.891454,0.782999,1
0.290147,0.587893,0.922924,1
0.326017,0.236322,0.994739,0
0.115948,0.225104,0.983795,1
0.782003,0.149667,0.154588,0
0.758571,0.545822,0.954757,1
0.512906,0.12059,0.136562,0
0.529644,0.219335,0.769969,1
0.11078,0.552965,0.631144,1
0.140847,0.554064,0.258202,1
0.790392,0.252935,0.475192,0
0.478056,0.458982,0.64269,1
0.608661,0.797307,0.493856,1
0.343112,0.448608,0.863276,1
0.569212,0.999869,0.516275,0
0.219191,0.286238,0.501163,0
0.839207,0.132299,0.73091,1
0.686373,0.989143,0.446917,1
0.242064,0.922139,0.383097,1
0.381102,0.025779,0.980191,1
0.823091,0.474043,0.356988,1
0.922652,0.220257,0.022205,0
0.220113,0.538507,0.590719,1
0.82475,0.091874,0.769287,1
0.2242,0.500193,0.644011,1
0.489313,0.09092,0.387331,0
0.013053,0.770458,0.451495,1
0.796243,0.431681,0.383915,1
0.905726,0.740931,0.785542,1
0.961188,0.807776,0.320229,1
0.346266,0.910979,0.620608,1
0.002847,0.38989,0.834979,1
0.890086,0.478986,0.137611,0
0.56992,0.524969,0.110761,0
0.295411,0.562283,0.977145,0
0.993963,0.361054,0.71099,1
0.101977,0.496528,0.728066,0
0.304288,0.048287,0.244455,0
0.959265,0.865094,0.82158,1
0.25497,0.656556,0.189152,1
0.135531,0.326788,0.524451,1
0.851761,0.63524,0.288418,1
0.197511,0.265557,0.238815,0
0.626624,0.949836,0.091144,1
0.446343,0.81924,0.791774,1
0.86753,0.03622,0.401182,0
0.901316,0.222755,0.788912,1
0.879314,0.978095,0.301332,0
0.304867,0.825813,0.720302,1
0.461031,0.008712,0.30379,0
0.274294,0.542633,0.850025,1
0.492446,0.941201,0.629522,1
0.760408,0.421291,0.689425,1
0.457529,0.090599,0.454724,0
0.313378,0.243629,0.515128,0
0.221711,0.81649,0.207525,1
0.642274,0.927858,0.683211,1
0.936571,0.987032,0.761854,1
0.52964,0.611876,0.111769,1
0.553051,0.74132,0.960888,1
0.1626,0.650309,0.941404,1
0.740916,0.396122,0.978988,0
0.639763,0.494112,0.246975,0
0.310585,0.454527,0.388049,1
0.382366,0.071251,0.056148,0
0.058276,0.818032,0.529799,1
0.429887,0.641596,0.610006,1
0.382897,0.57089,0.296387,1
0.221186,0.237784,0.165617,0
0.633919,0.144598,0.01638,0
0.638722,0.26338,0.135142,0
0.717916,0.523218,0.902178,1
0.594482,0.958357,0.419213,1
0.776356,0.949042,0.240668,1
0.590612,0.850704,0.189167,1
0.421573,0.485581,0.519007,1
0.723374,0.684653,0.604864,1
0.829256,0.621272,0.630974,1
0.884656,0.766146,0.417279,1
0.289348,0.319451,0.702856,1
0.277793,0.122061,0.536589,1
0.071095,0.777287,0.26038,1
0.627962,0.449574,0.63522,0
0.935156,0.154219,0.6923,1
0.838877,0.297158,0.015802,0
0.918432,0.646805,0.136092,0
0.41293,0.553398,0.405649,1
0.872852,0.108497,0.586111,0
0.230584,0.122693,0.204781,0
0.899981,0.465188,0.963403,1
0.914764,0.59862,0.577477,1
0.752846,0.26977,0.508444,0
0.566942,0.524273,0.259841,0
0.171067,0.395959,0.288448,0
0.949358,0.694125,0.28627,1
0.802628,0.872411,0.972865,0
0.995102,0.177639,0.334886,0
0.642839,0.298283,0.423017,0
0.896905,0.000485,0.407514,0
0.27028,0.915989,0.24146,1
0.440241,0.501328,0.322588,1
0.89729,0.611064,0.195297,1
0.305173,0.481593,0.668856,1
0.353986,0.641718,0.141,0
0.819363,0.475913,0.244156,0
0.774203,0.667202,0.019785,0
0.667698,0.427325,0.320848,0
0.343296,0.562335,0.775209,1
0.063656,0.097789,0.394842,0
0.708863,0.590167,0.807599,0
0.071753,0.476451,0.121824,0
0.118159,0.262848,0.774834,1
0.738769,0.018982,0.399718,0
0.686194,0.419529,0.184065,0
0.846858,0.50494,0.291861,0
0.067267,0.067061,0.973705,1
0.164879,0.368542,0.091859,0
0.958709,0.899489,0.887789,0
0.375921,0.009604,0.456199,0
0.272477,0.231027,0.431601,1
0.250035,0.831348,0.524216,1
0.250863,0.70831,0.290111,0
0.213236,0.582,0.287866,1
0.649072,0.261564,0.411429,0
0.630118,0.503315,0.687699,1
0.402784,0.575484,0.619288,1
0.585102,0.075479,0.272779,0
0.30653,0.704409,0.868835,1
0.535733,0.393046,0.492794,1
0.101347,0.782934,0.884328,1
0.364916,0.172186,0.595094,1
0.43377,0.006515,0.827949,0
0.509847,0.515644,0.652715,1
0.091119,0.271996,0.691341,1
0.347498,0.964152,0.5338,1
0.668531,0.402631,0.210585,0
0.795683,0.703407,0.990873,1
0.486319,0.8752,0.211605,1
0.047379,0.80673,0.865233,1
0.81325,0.693179,0.545038,1
0.208809,0.197745,0.235717,0
0.469759,0.927089,0.976166,1
0.891204,0.509962,0.471284,1
0.912595,0.681897,0.764002,1
0.385285,0.754874,0.605306,1
0.630045,0.816942,0.722844,1
0.623643,0.588073,0.158564,0
0.281236,0.70363,0.759994,1
0.901378,0.995742,0.789986,1
0.922793,0.766151,0.188382,1
0.276098,0.659695,0.373721,1
0.341574,0.137716,0.896977,1
0.892592,0.50228,0.598466,1
0.319204,0.321305,0.20005,0
0.90938,0.35864,0.379735,0
0.062263,0.139721,0.680668,1
0.135453,0.470649,0.33477,0
0.236786,0.523179,0.87225,1
0.182862,0.245964,0.701582,1
0.383701,0.598556,0.251289,1
0.100827,0.849785,0.798934,1
0.171078,0.999015,0.362876,0
0.357637,0.74264,0.271065,1
0.882364,0.951763,0.383537,0
0.422392,0.718336,0.076049,0
0.241501,0.94833,0.172053,1
0.194282,0.873666,0.948815,1
0.4722,0.200097,0.854285,1
0.049875,0.653216,0.993076,1
0.652203,0.355946,0.301406,1
0.098577,0.572498,0.429737,1
0.524237,0.813305,0.998772,1
0.531616,0.074813,0.60581,0
0.023137,0.777893,0.197472,1
0.65153,0.14628,0.795414,1
0.346399,0.649696,0.696762,1
0.302896,0.689836,0.617234,1
0.045775,0.91867,0.964951,1
0.491145,0.394683,0.125283,1
0.207975,0.124048,0.962024,1
0.198889,0.56783,0.512709,1
0.345705,0.71021,0.439447,1
0.856494,0.234854,0.12095,0
0.884553,0.817742,0.59917,1
0.507554,0.216397,0.142534,0
0.135057,0.107477,0.697692,1
0.502177,0.823005,0.641588,1
0.947054,0.603608,0.449741,1
0.171427,0.962481,0.367965,1
0.672662,0.807442,0.514367,1
0.042289,0.635345,0.732051,1
0.453066,0.331215,0.114277,0
0.547627,0.256836,0.513951,0
0.364334,0.211636,0.308881,0
0.034634,0.9505,0.576665,1
0.554083,0.026398,0.127616,0
0.988878,0.495608,0.242635,0
0.303033,0.757031,0.19068,1
0.392357,0.922762,0.272159,1
0.253962,0.386462,0.806052,1
0.643309,0.319997,0.484273,0
0.531649,0.793183,0.874164,1
0.74365,0.450824,0.547972,1
0.477239,0.675617,0.023226,0
0.171213,0.265886,0.127639,0
0.02291,0.318345,0.819582,1
0.241092,0.091733,0.260684,0
0.478212,0.066728,0.296638,0
0.386746,0.78094,0.12915,1
0.574097,0.003305,0.484678,0
0.454148,0.032641,0.61548,0
0.708267,0.638734,0.397498,1
0.904622,0.525164,0.353723,1
0.843513,0.173298,0.342796,1
0.265056,0.603508,0.579663,1
0.670246,0.876331,0.864799,0
0.657243,0.99398,0.975401,1
0.997284,0.460074,0.549085,1
0.492732,0.164558,0.382812,0
0.803298,0.780339,0.080464,1
0.305487,0.434213,0.635453,1
0.607524,0.97828,0.233595,1
0.581761,0.813287,0.615851,1
0.689588,0.480646,0.308991,0
0.474604,0.284386,0.578169,1
0.744468,0.127246,0.923328,1
0.291828,0.306134,0.438194,1
0.086464,0.518685,0.80305,1
0.952898,0.438498,0.540953,1
0.416758,0.774577,0.432996,1
0.587837,0.04884,0.250516,0
0.529501,0.559534,0.624255,0
0.843924,0.202417,0.475989,0
0.329686,0.399313,0.825598,1
0.705456,0.263785,0.716645,1
0.782477,0.519691,0.183863,0
0.958189,0.724845,0.295784,1
0.499399,0.728809,0.373458,0
0.777655,0.624002,0.364654,1
0.183525,0.98894,0.311253,0
0.191345,0.787272,0.615841,1
0.186573,0.441434,0.142535,0
0.705229,0.85921,0.683955,1
0.378882,0.867848,0.223065,1
0.592667,0.518877,0.712021,0
0.247672,0.085471,0.179289,1
0.709483,0.54397,0.332476,1
0.532886,0.643757,0.920468,1
0.431009,0.536305,0.245255,0
0.977739,0.387816,0.509611,1
0.247012,0.193559,0.170656,0
0.0614,0.393748,0.962979,1
0.912626,0.674997,0.74614,1
0.760475,0.925459,0.185613,1
0.469407,0.518116,0.362958,0
0.161862,0.28342,0.72653,1
0.81973,0.971816,0.210445,1
0.359614,0.720085,0.480429,1
0.913646,0.651113,0.232514,1
0.044854,0.195486,0.629117,1
0.870486,0.375251,0.117764,0
0.300694,0.303402,0.100901,0
0.821523,0.463886,0.772401,1
0.747313,0.498927,0.576258,1
0.470721,0.786732,0.364501,1
0.506793,0.84496,0.43696,1
0.49605,0.669503,0.395478,1
0.864992,0.024587,0.498385,0
0.399858,0.616177,0.366429,1
0.919581,0.467356,0.470653,1
0.931243,0.243047,0.724491,1
0.741982,0.300742,0.245585,0
0.087466,0.610115,0.043022,0
0.455053,0.480009,0.01468,0
0.149501,0.410185,0.492008,0
0.43479,0.990424,0.749975,1
0.606574,0.116396,0.535201,0
0.583766,0.005846,0.267245,0
0.248919,0.991767,0.19355,1
0.292493,0.439162,0.203593,0
0.049269,0.24664,0.974235,1
0.726658,0.988946,0.455425,1
0.399111,0.947463,0.890664,1
0.937848,0.640635,0.668554,1
0.757039,0.203749,0.070557,0
0.209622,0.337828,0.855821,1
0.329577,0.049363,0.44944,0
0.488541,0.653061,0.002016,0
0.899703,0.976282,0.042121,1
0.965188,0.497573,0.502516,1
0.445015,0.393174,0.198189,0
0.033803,0.866773,0.927294,1
0.070514,0.997882,0.131634,1
0.335692,0.987486,0.738687,1
0.036842,0.18812,0.287335,0
0.841186,0.289376,0.063182,0
0.265644,0.105328,0.367238,0
0.602914,0.869785,0.59513,0
0.262944,0.793349,0.430787,1
0.660093,0.358074,0.087579,0
0.355938,0.219237,0.01073,0
0.20671,0.749447,0.356897,1
0.937568,0.64426,0.768947,1
0.933637,0.832159,0.519636,1
0.937487,0.886904,0.430108,1
0.756657,0.02523,0.588329,1
0.818584,0.019107,0.316344,0
0.377202,0.403949,0.209273,0
0.623198,0.220028,0.42477,0
0.969474,0.781696,0.073448,1
0.425935,0.842425,0.685793,1
0.674554,0.205422,0.558852,0
0.092317,0.98899,0.152426,1
0.014214,0.740784,0.868585,1
0.759898,0.184922,0.311466,0
0.588884,0.520765,0.870251,1
0.740801,0.295015,0.041973,0
0.076702,0.115445,0.617313,0
0.95787,0.3031,0.862221,1
0.508538,0.421067,0.244452,0
0.410037,0.396904,0.449828,1
0.137677,0.318408,0.257043,0
0.503346,0.568536,0.034658,1
0.089293,0.904939,0.304303,1
0.199941,0.346302,0.540367,1
0.461764,0.157672,0.779294,1
0.46079,0.641511,0.052039,0
0.06257,0.296516,0.570185,1
0.693429,0.020005,0.896874,1
0.338435,0.15391,0.728687,1
0.722454,0.763374,0.934024,1
0.668283,0.23832,0.641845,1
0.584635,0.182204,0.144859,1
0.339898,0.924184,0.466029,1
0.565669,0.518095,0.770023,1
0.814616,0.340203,0.100836,0
0.360229,0.997742,0.339142,1
0.151641,0.067821,0.540447,0
0.831199,0.474466,0.685847,1
0.712795,0.327686,0.3677,0
0.509906,0.512587,0.343821,1
0.436749,0.80988,0.650498,0
0.327957,0.420516,0.630662,1
0.760726,0.731527,0.650619,1
0.729238,0.989793,0.819628,1
0.057606,0.36007,0.754981,1
0.83454,0.440823,0.388281,1
0.768516,0.756011,0.84477,1
0.268583,0.188584,0.128213,0
0.998462,0.77874,0.707757,1
0.199243,0.338413,0.468988,1
0.069932,0.1196,0.080909,0
0.109383,0.900568,0.680053,1
0.260622,0.435029,0.055783,1
0.875855,0.444091,0.642498,1
0.200089,0.487263,0.922801,1
0.675857,0.051006,0.173995,0
0.82975,0.881782,0.000717,0
0.220182,0.469732,0.988977,1
0.589345,0.069878,0.089272,0
0.970445,0.769355,0.865732,1
0.204372,0.921545,0.326222,0
0.365618,0.96875,0.7246,1
0.455992,0.647397,0.034367,0
0.698412,0.208387,0.806172,1
0.090161,0.806918,0.557155,1
0.276635,0.546128,0.600463,1
0.616018,0.689764,0.56471,1
0.459097,0.430436,0.817536,1
0.351964,0.14375,0.743703,1
0.112491,0.468298,0.283284,0
0.115686,0.317676,0.700337,1
0.526078,0.506505,0.342253,1
0.313406,0.899438,0.926598,1
0.445545,0.527057,0.45602,0
0.216808,0.020721,0.648026,0
0.451175,0.465557,0.33937,1
0.609319,0.083065,0.520722,0
0.551378,0.804035,0.290288,1
0.121701,0.990656,0.481161,1
0.497138,0.823445,0.264013,1
0.722852,0.190604,0.400583,0
0.717669,0.856632,0.229948,1
0.877356,0.878004,0.610385,1
0.343543,0.949786,0.131657,1
0.032845,0.652408,0.674677,1
0.456422,0.964996,0.251279,1
0.955612,0.73247,0.225896,1
0.555889,0.489936,0.263284,0
0.68055,0.663895,0.447132,1
0.520503,0.677108,0.332688,1
0.555087,0.943104,0.726394,1
0.892853,0.858082,0.851502,1
0.510466,0.526175,0.509921,1
0.491148,0.761229,0.545013,1
0.493676,0.770938,0.899517,0
0.26086,0.162794,0.328297,0
0.826694,0.775458,0.33962,1
0.452545,0.672337,0.74506,0
0.615413,0.47145,0.906273,1
0.329514,0.757772,0.433958,1
0.283931,0.94391,0.806876,1
0.705108,0.351883,0.221828,0
0.122812,0.121338,0.248338,0
0.284156,0.576662,0.325076,1
0.352103,0.664725,0.458043,1
0.337044,0.203096,0.812288,1
0.674556,0.718558,0.460719,0
0.476308,0.894707,0.844059,1
0.838581,0.650932,0.53532,1
0.00281,0.757177,0.742476,1
0.878517,0.990845,0.509298,1
0.567481,0.834404,0.273513,1
0.499106,0.731585,0.724238,1
0.934682,0.536522,0.788616,1
0.255066,0.249328,0.613307,1
0.144024,0.457361,0.491614,1
0.108285,0.026925,0.526292,0
0.784108,0.268761,0.236714,0
0.259591,0.746041,0.825303,1
0.580418,0.098809,0.746664,0
0.830399,0.470898,0.915686,1
0.007414,0.704299,0.374307,1
0.953627,0.987645,0.993873,0
0.444985,0.485482,0.080241,0
0.512423,0.606561,0.664374,1
0.875326,0.901118,0.959165,1
0.64713,0.784467,0.962003,1
0.883278,0.708664,0.307064,1
0.17955,0.222743,0.478749,0
0.927043,0.853086,0.449449,1
0.840695,0.443317,0.97833,1
0.928801,0.058563,0.83896,1
0.665134,0.50333,0.737758,1
0.404428,0.696921,0.675378,0
0.481365,0.637378,0.279098,1
0.346024,0.586189,0.078301,0
0.808938,0.557078,0.71255,1
0.410144,0.161991,0.616645,0
0.605321,0.594971,0.536517,1
0.653544,0.375472,0.975355,1
0.878804,0.71311,0.859144,1
0.410011,0.534518,0.334783,1
0.171884,0.613908,0.256008,1
0.200085,0.334335,0.043471,1
0.891415,0.75605,0.745006,1
0.918043,0.361646,0.552395,1
0.956616,0.088904,0.057465,0
0.464394,0.032812,0.928847,1
0.74593,0.78799,0.62643,1
0.322491,0.961244,0.0473,1
0.575126,0.303333,0.012271,0
0.637679,0.055766,0.784243,1
0.811821,0.529245,0.830657,1
0.890893,0.383047,0.253213,0
0.471969,0.310704,0.457661,0
0.343538,0.386503,0.279551,1
0.174481,0.906012,0.245398,1
0.86722,0.292723,0.991366,1
0.596069,0.003629,0.217546,0
0.059427,0.001781,0.762846,0
0.531041,0.5935,0.601111,1
0.976547,0.854354,0.269429,1
0.165047,0.727119,0.384872,1
0.113613,0.664451,0.598056,1
0.570437,0.843485,0.78508,1
0.136198,0.776443,0.88001,1
0.780079,0.097549,0.966029,1
0.09936,0.728873,0.710759,1
0.322356,0.311864,0.052319,0
0.166206,0.321774,0.747422,1
0.048886,0.132286,0.839852,1
0.796743,0.437903,0.450597,1
0.281372,0.23567,0.804842,1
0.012108,0.684849,0.149828,1
0.782404,0.11585,0.631695,0
0.844727,0.342449,0.512166,1
0.654323,0.564513,0.465981,1
0.886289,0.213396,0.151774,0
0.345703,0.991657,0.097663,1
0.429539,0.548288,0.509623,1
0.783964,0.314459,0.128472,0
0.999307,0.278325,0.588261,1
0.394195,0.21995,0.663476,1
0.562413,0.175635,0.405998,0
0.740155,0.872009,0.03725,1
0.085396,0.189048,0.561617,0
0.180693,0.659309,0.573548,1
0.207584,0.083163,0.321139,0
0.397642,0.449637,0.787629,1
0.727971,0.375885,0.178644,0
0.595848,0.84215,0.36108,1
0.017779,0.767107,0.374991,1
0.639088,0.412267,0.384372,0
0.601328,0.94602,0.155574,1
0.605302,0.72915,0.392249,1
0.812319,0.713417,0.804444,1
0.163043,0.59207,0.606909,1
0.967955,0.785582,0.013162,0
0.627704,0.374267,0.722066,1
0.141364,0.097049,0.403415,0
0.509332,0.787816,0.504936,1
0.733804,0.660538,0.892691,1
0.389669,0.284934,0.151979,0
0.998349,0.956454,0.411942,1
0.548499,0.018843,0.052389,0
0.804431,0.065575,0.080237,0
0.439861,0.802333,0.077603,1
0.899384,0.481044,0.361673,1
0.268845,0.866638,0.519372,0
0.527152,0.412058,0.341746,0
0.697002,0.493753,0.118794,0
0.450185,0.530764,0.85675,1
0.549621,0.909169,0.515134,1
0.974743,0.595399,0.786192,1
0.397712,0.863824,0.995843,1
0.344851,0.35751,0.705815,1
0.224134,0.22518,0.616348,1
0.63725,0.958125,0.668112,1
0.451856,0.786935,0.029582,1
0.317682,0.886362,0.900737,1
0.795498,0.415866,0.221344,0
0.011259,0.007528,0.18483,0
0.871355,0.180665,0.706075,1
0.53819,0.411884,0.829911,1
0.637076,0.446254,0.513611,1
0.404359,0.181716,0.608577,0
0.968651,0.638188,0.758264,1
0.524526,0.658997,0.153623,1
0.074855,0.374994,0.090247,1
0.382542,0.275102,0.495091,0
0.455785,0.201159,0.470099,0
0.613055,0.300004,0.756307,1
0.746266,0.269912,0.524455,0
0.451647,0.133025,0.006823,0
0.77122,0.765116,0.706633,1
0.424092,0.860287,0.61577,1
0.235267,0.706046,0.585069,1
0.981147,0.080152,0.871717,1
0.281335,0.34181,0.430902,0
0.641826,0.187202,0.144508,0
0.457133,0.668991,0.538714,1
0.802022,0.545564,0.329069,1
0.310663,0.035694,0.868994,1
0.895983,0.48476,0.233696,0
0.190794,0.818794,0.749066,1
0.898948,0.62078,0.608873,1
0.962591,0.039768,0.074657,0
0.226996,0.21919,0.992518,1
0.888184,0.531228,0.592912,1
0.076783,0.922012,0.263433,1
0.957707,0.132419,0.122191,0
0.617191,0.355912,0.98495,1
0.174695,0.734014,0.97994,0
0.354776,0.58881,0.253915,1
0.62859,0.328598,0.921792,1
0.547802,0.914309,0.539717,1
0.445515,0.132621,0.126173,0
0.054626,0.389632,0.90976,0
0.522067,0.031942,0.866029,1
0.387875,0.850978,0.947257,1
0.584965,0.927197,0.636217,1
0.515983,0.890162,0.257099,1
0.218747,0.178883,0.000142,0
0.093183,0.539886,0.202523,0
0.672518,0.328722,0.060985,0
0.718363,0.970776,0.739484,1
0.002713,0.605509,0.379682,1
0.456465,0.326934,0.953175,0
0.254116,0.589388,0.981186,1
0.479527,0.238278,0.914684,1
0.417181,0.914856,0.464823,1
0.454721,0.667374,0.049051,0
0.996095,0.11006,0.854393,1
0.080828,0.593873,0.954898,0
0.199369,0.334575,0.474133,1
0.661519,0.427303,0.697271,1
0.016685,0.678454,0.68574,1
0.916734,0.60042,0.194478,0
0.515253,0.659329,0.844289,1
0.326686,0.893371,0.097198,1
0.003426,0.951622,0.03722,0
0.54547,0.99215,0.167791,1
0.326707,0.641952,0.400671,1
0.069246,0.097935,0.903873,0
0.776396,0.58961,0.58215,1
0.190018,0.776658,0.027024,1
0.435966,0.871344,0.675249,1
0.764682,0.772476,0.085419,1
0.724066,0.122663,0.852376,1
0.114803,0.020159,0.014358,0
0.662121,0.415056,0.429735,1
0.513007,0.333603,0.817312,1
0.923214,0.399457,0.982542,1
0.176103,0.009557,0.818511,1
0.880904,0.493756,0.374717,1
0.266217,0.460163,0.413688,1
0.582839,0.266059,0.25981,0
0.286241,0.274193,0.139143,0
0.689259,0.568906,0.679735,1
0.902511,0.497043,0.491665,1
0.896502,0.474202,0.938966,0
0.483776,0.757475,0.684678,1
0.251217,0.059387,0.010246,0
0.519566,0.423961,0.507719,1
0.690029,0.767558,0.800056,1
0.041745,0.93923,0.924645,1
0.508112,0.604376,0.933283,1
0.10141,0.424942,0.236334,0
0.899146,0.175293,0.0705,0
0.932769,0.755207,0.747607,1
0.8146,0.757882,0.701426,1
0.18183,0.209138,0.436566,0
0.976696,0.236615,0.848139,0
0.175833,0.772782,0.749452,1
0.377139,0.682732,0.094554,0
0.107665,0.330914,0.47646,0
0.506223,0.546988,0.389728,1
0.302179,0.137327,0.622978,0
0.895211,0.324398,0.45094,1
0.533551,0.887536,0.948913,1
0.124141,0.79705,0.528685,1
0.569806,0.278131,0.983937,1
0.960863,0.078483,0.425493,1
0.409417,0.901984,0.075324,1
0.44895,0.465079,0.354624,1
0.602418,0.977633,0.867919,1
0.302014,0.318853,0.574668,1
0.206376,0.523577,0.345805,1
0.32061,0.87452,0.6305,1
0.15264,0.614434,0.837371,1
0.692926,0.262858,0.182019,0
0.16483,0.257368,0.017966,0
0.722455,0.372616,0.364906,0
0.350231,0.232819,0.822507,1
0.551687,0.39717,0.487811,1
0.920749,0.833645,0.08857,1
0.708135,0.719099,0.131761,1
0.333515,0.969164,0.974292,0
0.232008,0.156303,0.128771,0
0.413691,0.146761,0.010605,0
0.519393,0.375538,0.461014,1
0.608369,0.283516,0.521869,1
0.680696,0.009671,0.918131,1
0.843321,0.006693,0.842809,1
0.7258,0.974602,0.412225,0
0.943726,0.386512,0.085742,0
0.54283,0.214537,0.572575,0
0.36132,0.583209,0.092652,0
0.958747,0.553694,0.750343,1
0.837214,0.272206,0.727175,1
0.281902,0.645303,0.119336,0
0.652006,0.962176,0.67668,1
0.936739,0.088897,0.437116,0
0.475426,0.522885,0.056181,1
0.73743,0.628784,0.97479,0
0.21198,0.067434,0.979476,1
0.62114,0.729816,0.737845,1
0.002017,0.465015,0.976273,1
0.110309,0.095602,0.40914,0
0.05777,0.085812,0.140108,0
0.174738,0.577252,0.874982,1
0.100128,0.931193,0.668425,1
0.559952,0.643212,0.936321,1
0.710655,0.915796,0.942671,1
0.645584,0.680514,0.790154,1
0.145518,0.766425,0.931537,1
0.86203,0.340671,0.018129,0
0.426502,0.158262,0.914321,1
0.735522,0.789301,0.251398,1
0.720464,0.919854,0.673214,1
0.56304,0.609532,0.052332,0
0.525304,0.995034,0.60549,1
0.675518,0.395639,0.818499,1
0.162052,0.750033,0.076853,0
0.090695,0.095006,0.943894,1
0.253293,0.858214,0.118427,1
0.647487,0.369851,0.824474,1
0.289689,0.497684,0.648367,1
0.107207,0.700728,0.126411,1
0.695731,0.73193,0.803408,1
0.127559,0.621904,0.192274,1
0.371918,0.269152,0.313688,0
0.364179,0.257576,0.979828,1
0.115781,0.098248,0.60629,0
0.468117,0.430759,0.131206,0
0.928444,0.779602,0.610538,0
0.480307,0.736978,0.668167,1
0.468886,0.47157,0.547286,1
0.093465,0.73959,0.886072,1
0.008736,0.199753,0.928012,1
0.457347,0.907839,0.990405,1
0.006081,0.596691,0.336393,1
0.027443,0.467626,0.231996,0
0.247214,0.842565,0.991552,1
0.579517,0.659715,0.903571,0
0.131275,0.450853,0.644853,1
0.19043,0.53092,0.690133,1
0.730682,0.618142,0.572088,1
0.525956,0.56249,0.761165,1
0.15917,0.097551,0.006222,0
0.565191,0.238243,0.142491,0
0.0808,0.134035,0.539927,0
0.793756,0.443493,0.708725,1
0.894349,0.353573,0.149763,1
