@relation 2CHT.txt-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute atr1 numeric
@attribute atr2 numeric
@attribute class {0,1}

@data
0.174042,0.620275,0
0.187226,0.535413,0
0.110095,0.699421,0
0.070313,0.36919,0
0.231776,0.521667,1
0.174687,0.640898,0
0.09766,0.554469,0
0.204063,0.406178,1
0.120394,0.565053,0
0.190584,0.388666,0
0.092167,0.245865,0
0.1127,0.491322,0
0.267962,0.560809,1
0.233983,0.614903,1
0.237993,0.469615,1
0.289607,0.315146,1
0.241054,0.431416,1
0.142629,0.699853,0
0.203018,0.613001,1
0.192886,0.591647,1
0.119956,0.333186,0
0.15788,0.612429,1
0.307431,0.356898,1
0.259011,0.585729,1
0.10414,0.436391,0
0.174033,0.601095,0
0.300033,0.433925,1
0.077823,0.596499,0
0.248567,0.710138,1
0.218364,0.412466,1
0.292914,0.246103,1
0.232151,0.63373,0
0.17866,0.377201,1
0.203381,0.524696,1
0.191411,0.539296,0
0.112059,0.452382,1
0.182284,0.360133,0
0.23514,0.608448,1
0.183904,0.418947,1
0.110908,0.547371,0
0.225823,0.623207,1
0.131383,0.599105,0
0.111834,0.65784,0
0.251816,0.334654,1
0.132556,0.513196,0
0.196289,0.724289,1
0.245842,0.404738,1
0.204011,0.246003,1
0.178254,0.448561,0
0.21665,0.54627,1
0.109031,0.40031,0
0.109848,0.364125,0
0.257736,0.558642,1
0.205304,0.521411,1
0.262366,0.530763,1
0.222498,0.291606,1
0.214997,0.616638,1
0.040489,0.524432,0
0.270409,0.358628,1
0.130964,0.24025,0
0.185561,0.575664,0
0.161472,0.609153,0
0.169496,0.394016,0
0.132426,0.601324,0
0.173327,0.440556,0
0.178502,0.609523,0
0.189355,0.478219,1
0.170299,0.375568,0
0.128965,0.63926,0
0.19073,0.501484,0
0.228387,0.45336,1
0.117616,0.434013,0
0.335526,0.541709,1
0.107658,0.814302,0
0.274218,0.55733,1
0.275823,0.513063,1
0.290576,0.548701,1
0.12241,0.393079,0
0.199638,0.600347,1
0.258442,0.691021,1
0.113175,0.498816,0
0.204632,0.542801,0
0.144606,0.55726,0
0.171628,0.330232,0
0.107753,0.643179,0
0.274918,0.430165,1
0.201074,0.507692,1
0.198152,0.470954,1
0.167934,0.673911,1
0.047084,0.596261,0
0.175171,0.396056,0
0.277159,0.298381,1
0.256513,0.33194,1
0.200177,0.507947,1
0.232197,0.571288,1
0.160872,0.514516,0
0.125461,0.558801,0
0.173385,0.506512,0
0.329545,0.505578,1
0.230813,0.522591,1
0.153688,0.44746,1
0.245593,0.700003,1
0.134343,0.324213,0
0.334875,0.446289,1
0.142167,0.377315,0
0.139739,0.39946,0
0.159694,0.505129,0
0.133228,0.285217,0
0.281825,0.446298,1
0.264289,0.577047,1
0.086977,0.30367,0
0.143204,0.47622,0
0.116535,0.624114,0
0.257509,0.388116,1
0.300869,0.542924,1
0.322063,0.654027,1
0.245714,0.524449,1
0.13512,0.436743,0
0.210846,0.53101,1
0.25965,0.455491,1
0,0.684989,0
0.151844,0.522459,0
0.028573,0.3291,0
0.107329,0.28899,0
0.284977,0.601236,1
0.20286,0.617254,1
0.283596,0.702142,1
0.275481,0.498102,1
0.192065,0.38098,1
0.266163,0.599695,1
0.232627,0.500771,1
0.220417,0.450797,1
0.120513,0.267784,0
0.067645,0.561099,0
0.271856,0.261297,1
0.311195,0.566488,1
0.171789,0.462976,0
0.247262,0.615264,1
0.193767,0.344725,0
0.109568,0.280522,0
0.149336,0.792429,0
0.173154,0.44532,1
0.215491,0.725223,1
0.276756,0.38568,1
0.212593,0.650664,1
0.128024,0.442335,0
0.196565,0.518162,1
0.101597,0.629582,0
0.255459,0.589727,1
0.197831,0.647071,0
0.049628,0.416314,0
0.14768,0.509796,0
0.209934,0.371709,1
0.179135,0.452127,0
0.234089,0.433494,1
0.205764,0.387954,1
0.18808,0.379138,1
0.238659,0.134782,1
0.139698,0.658474,1
0.220133,0.193711,1
0.205459,0.470707,1
0.242565,0.619737,1
0.165511,0.608906,1
0.189528,0.771673,1
0.096549,0.52902,0
0.249524,0.577302,1
0.074416,0.377962,0
0.150139,0.47902,0
0.277964,0.395756,1
0.118899,0.692139,0
0.220953,0.490071,0
0.247256,0.428246,1
0.150232,0.370777,0
0.173421,0.586927,0
0.193567,0.56906,0
0.117283,0.571006,0
0.371058,0.41494,1
0.126822,0.403776,0
0.171328,0.378208,1
0.227564,0.429188,0
0.277416,0.537755,1
0.283639,0.515247,1
0.246023,0.736881,0
0.219969,0.574581,1
0.081811,0.60578,0
0.089969,0.339929,0
0.08271,0.375501,0
0.08314,0.406327,0
0.193152,0.722405,0
0.162011,0.364328,0
0.12951,0.469263,0
0.329215,0.706457,1
0.252646,0.568435,1
0.145907,0.332863,0
0.229251,0.43507,1
0.119691,0.513548,0
0.174329,0.481045,0
0.243016,0.499978,1
0.109551,0.403909,0
0.166132,0.600611,0
0.319213,0.523939,1
0.204169,0.800284,1
0.124598,0.33763,1
0.158334,0.672854,0
0.112833,0.393868,0
0.058316,0.299244,0
0.208484,0.449318,1
0.230989,0.700734,1
0.219524,0.517114,1
0.055539,0.50358,0
0.226631,0.279162,1
0.252231,0.658369,0
0.121843,0.507322,0
0.129159,0.302189,0
0.242577,0.534286,1
0.259411,0.444748,1
0.169745,0.54354,1
0.169848,0.572626,0
0.18018,0.464975,1
0.109376,0.425525,0
0.17608,0.449221,1
0.036861,0.279086,0
0.205752,0.490397,0
0.100808,0.32899,0
0.142013,0.41107,0
0.319477,0.398842,1
0.199042,0.670547,1
0.196859,0.407769,1
0.189325,0.266402,1
0.031459,0.623859,0
0.265222,0.567219,1
0.089599,0.331193,0
0.260198,0.611979,1
0.108643,0.743961,0
0.23379,0.374275,1
0.271502,0.561804,1
0.112414,0.581053,0
0.224699,0.364126,1
0.272968,0.227358,1
0.274164,0.425965,1
0.09039,0.402849,0
0.244779,0.498419,1
0.288196,0.479319,1
0.313105,0.512306,1
0.136343,0.47504,0
0.091086,0.489103,0
0.280586,0.528165,1
0.21794,0.594623,1
0.217326,0.61765,1
0.051357,0.552972,0
0.271874,0.531159,1
0.29566,0.422751,1
0.144963,0.468453,0
0.159673,0.468242,0
0.333479,0.43146,1
0.229632,0.781606,1
0.195093,0.644165,1
0.127232,0.552355,0
0.182536,0.614674,1
0.126167,0.710032,0
0.223997,0.390748,1
0.149696,0.371243,0
0.363039,0.736159,1
0.19049,0.424397,1
0.11847,0.533202,0
0.143879,0.450745,0
0.189273,0.403441,0
0.103605,0.514772,0
0.216681,0.524018,1
0.26226,0.486681,1
0.104802,0.388438,0
0.1199,0.662085,0
0.241754,0.390318,1
0.14499,0.213066,0
0.160521,0.342803,0
0.242175,0.380212,1
0.243334,0.746075,1
0.311413,0.461285,1
0.367927,0.326748,1
0.293323,0.626483,1
0.283342,0.451,1
0.088966,0.502276,0
0.36694,0.515608,1
0.271444,0.340962,1
0.175647,0.639383,0
0.117224,0.65283,0
0.318059,0.630252,1
0.36723,0.437368,1
0.12944,0.492555,0
0.249421,0.602002,1
0.283454,0.457005,1
0.306531,0.360825,1
0.102263,0.621516,0
0.259789,0.426722,1
0.264168,0.396602,0
0.110231,0.64877,0
0.208974,0.417397,0
0.12906,0.474996,0
0.126369,0.600699,0
0.091985,0.714594,0
0.102553,0.400912,0
0.190115,0.625981,0
0.148106,0.52983,0
0.189019,0.492202,0
0.269921,0.424706,1
0.174569,0.390286,0
0.265049,0.379908,1
0.186472,0.628455,0
0.232239,0.273871,1
0.15007,0.506274,0
0.121641,0.321125,0
0.340967,0.223096,1
0.355445,0.62776,1
0.296045,0.665378,1
0.1857,0.344677,0
0.069247,0.682708,0
0.17489,0.755955,0
0.183959,0.427664,0
0.229532,0.279991,1
0.138994,0.40363,0
0.29924,0.623401,1
0.199,0.527822,0
0.280747,0.617791,1
0.248685,0.58499,1
0.083467,0.512183,0
0.227234,0.543294,1
0.284302,0.694235,1
0.046912,0.701412,0
0.188201,0.6091,0
0.174202,0.435405,0
0.10926,0.456037,0
0.319386,0.552919,1
0.122911,0.491216,0
0.347784,0.70983,1
0.168585,0.475075,0
0.130254,0.357492,0
0.222128,0.663987,1
0.167019,0.690413,1
0.296532,0.448059,1
0.273134,0.523498,1
0.16926,0.231259,0
0.313911,0.56434,1
0.26474,0.790659,1
0.21881,0.580648,1
0.284517,0.489702,1
0.156409,0.682849,0
0.058849,0.446932,0
0.194479,0.603394,0
0.212181,0.411075,0
0.163059,0.585888,0
0.085269,0.307711,0
0.188804,0.499467,0
0.197776,0.431345,1
0.138456,0.420223,0
0.286691,0.815993,1
0.248061,0.357952,1
0.209104,0.48359,0
0.295878,0.622943,1
0.083392,0.669314,0
0.156763,0.477717,0
0.314286,0.760992,1
0.073602,0.551598,0
0.158373,0.328473,0
0.105585,0.598322,0
0.358979,0.482859,1
0.156235,0.56522,0
0.197925,0.457719,0
0.188522,0.475665,0
0.261742,0.475392,1
0.27321,0.500101,1
0.209132,0.362153,1
0.313572,0.473208,1
0.229157,0.766249,0
0.266209,0.520364,1
0.1517,0.538107,0
0.144675,0.368687,0
0.078601,0.549,0
0.22327,0.531142,1
0.204193,0.615607,0
0.158991,0.294846,0
0.134132,0.662058,0
0.113471,0.399289,0
0.165887,0.272545,0
0.241545,0.348363,0
0.250411,0.453791,1
0.235234,0.518373,1
0.239797,0.295929,1
0.30873,0.253332,1
0.243231,0.511699,1
0.098932,0.706017,0
0.297807,0.562191,1
0.289298,0.512835,1
0.079697,0.338379,0
0.192955,0.501968,0
0.437162,0.367944,1
0.242916,0.572582,1
0.185754,0.698074,1
0.324185,0.404338,1
0.271847,0.557639,1
0.166865,0.465591,0
0.214095,0.304133,1
0.257533,0.55239,1
0.370037,0.549449,1
0.261306,0.457199,1
0.122807,0.452004,0
0.336398,0.347022,1
0.13638,0.348859,0
0.198727,0.434242,0
0.19238,0.491921,0
0.178808,0.484629,0
0.321863,0.634778,1
0.131549,0.329502,0
0.163589,0.348542,0
0.240676,0.47806,1
0.228142,0.458247,1
0.321881,0.158893,1
0.336976,0.434727,1
0.091822,0.444034,0
0.283033,0.503051,1
0.292018,0.430808,1
0.204465,0.488856,1
0.083679,0.454346,0
0.07461,0.378761,0
0.270633,0.356423,1
0.285767,0.486575,1
0.161681,0.272679,0
0.287927,0.523058,1
0.29007,0.574995,1
0.25036,0.581124,0
0.369071,0.513002,1
0.119861,0.381113,0
0.209655,0.375501,1
0.297477,0.589031,1
0.241499,0.683016,1
0.30784,0.235662,1
0.157649,0.496614,0
0.295591,0.300955,1
0.15683,0.331707,0
0.237021,0.428959,1
0.242293,0.490036,1
0.241769,0.760147,1
0.216554,0.821092,0
0.337727,0.417679,1
0.120254,0.58867,0
0.177521,0.393152,0
0.208362,0.374325,0
0.293671,0.48861,1
0.130856,0.475841,0
0.206594,0.495839,0
0.176573,0.348711,0
0.133731,0.404845,0
0.108549,0.655912,0
0.179486,0.232756,0
0.234889,0.614322,1
0.294828,0.63078,1
0.295763,0.433644,1
0.318877,0.623867,1
0.399513,0.674519,1
0.251416,0.556397,0
0.096261,0.494668,0
0.171604,0.732496,0
0.242247,0.616382,1
0.13002,0.405632,0
0.136105,0.832892,0
0.281428,0.631264,1
0.324325,0.533502,1
0.163558,0.391668,0
0.221217,0.499282,1
0.300723,0.717694,1
0.184122,0.721181,0
0.331202,0.447671,1
0.150519,0.404893,0
0.175105,0.590696,0
0.205316,0.498719,0
0.117043,0.508669,0
0.199069,0.482446,0
0.110534,0.523243,0
0.201582,0.540749,0
0.27136,0.484048,1
0.197607,0.404696,0
0.22912,0.572468,1
0.319782,0.546288,1
0.287021,0.730409,1
0.168037,0.626298,0
0.182493,0.7467,0
0.199033,0.46818,1
0.293507,0.383434,1
0.316018,0.521588,1
0.180958,0.46936,0
0.407641,0.490274,1
0.134198,0.642272,0
0.22304,0.466146,0
0.308772,0.440054,1
0.137185,0.376158,0
0.205431,0.590705,0
0.172815,0.43035,1
0.321269,0.454064,1
0.265116,0.305489,1
0.281013,0.565537,1
0.294573,0.449811,1
0.230032,0.57724,0
0.28039,0.518567,1
0.185113,0.563882,1
0.220305,0.469563,0
0.146968,0.352938,0
0.297174,0.546103,1
0.209138,0.621499,0
0.186863,0.530217,0
0.180258,0.20205,0
0.211197,0.523789,1
0.34822,0.50417,1
0.291294,0.516022,1
0.14904,0.292849,0
0.131306,0.437835,0
0.349289,0.633166,1
0.250263,0.55984,1
0.253666,0.318763,1
0.29385,0.233698,1
0.337612,0.446615,1
0.153233,0.561672,0
0.155096,0.516753,0
0.19625,0.499106,1
0.208929,0.217108,0
0.336622,0.721876,1
0.196795,0.480165,0
0.246571,0.571754,1
0.140953,0.731387,0
0.093539,0.63115,0
0.21173,0.593927,0
0.153382,0.647106,0
0.174154,0.483265,0
0.008754,0.678596,0
0.26272,0.400575,1
0.326977,0.464526,1
0.178214,0.62702,0
0.144321,0.1491,0
0.194142,0.336717,0
0.243434,0.417458,1
0.187054,0.425956,0
0.242162,0.519439,1
0.221971,0.459269,1
0.24348,0.604266,1
0.278833,0.407682,1
0.241851,0.384017,0
0.283748,0.566726,1
0.128129,0.613732,0
0.034236,0.623242,0
0.275557,0.473296,1
0.346781,0.462993,1
0.272114,0.576932,1
0.215191,0.722642,1
0.282936,0.454804,1
0.170726,0.369404,0
0.222776,0.407661,0
0.197401,0.180854,0
0.18663,0.447751,0
0.146875,0.470038,0
0.143591,0.641215,0
0.197131,0.36777,0
0.302577,0.75142,1
0.158748,0.542149,0
0.348728,0.622749,1
0.251053,0.479372,0
0.413988,0.511293,1
0.142798,0.389534,0
0.16407,0.67738,0
0.333127,0.347963,1
0.318429,0.244677,1
0.298389,0.670538,1
0.153433,0.256238,0
0.30043,0.514587,1
0.275829,0.648409,1
0.135362,0.31397,0
0.156634,0.683624,0
0.248279,0.362608,1
0.248019,0.500841,1
0.226244,0.390574,0
0.21586,0.626403,0
0.171434,0.389026,0
0.238698,0.62658,0
0.138198,0.43205,0
0.26739,0.246273,1
0.235264,0.313329,1
0.240482,0.430702,1
0.148584,0.463266,0
0.239725,0.40285,1
0.116785,0.328093,0
0.17703,0.509515,0
0.143517,0.440072,0
0.171089,0.615669,0
0.247816,0.341033,1
0.16625,0.467352,0
0.117802,0.455764,0
0.281628,0.535879,1
0.248134,0.396558,1
0.152991,0.581996,0
0.103051,0.295238,0
0.251695,0.312757,1
0.276159,0.544597,1
0.217513,0.346099,0
0.238432,0.355277,0
0.172406,0.53927,0
0.210573,0.596763,0
0.327289,0.668689,1
0.175147,0.643152,0
0.281271,0.490899,1
0.193516,0.37985,0
0.115023,0.442995,0
0.16556,0.503483,0
0.183087,0.511302,0
0.299376,0.51176,1
0.156221,0.45771,0
0.308766,0.359588,1
0.352186,0.392523,1
0.309796,0.651544,1
0.165508,0.566216,0
0.173945,0.510034,0
0.284898,0.585905,1
0.166399,0.471826,0
0.346848,0.534523,1
0.18643,0.522503,0
0.236739,0.487447,1
0.280314,0.482463,1
0.32596,0.702407,1
0.255877,0.446888,1
0.288054,0.526008,1
0.276526,0.542079,1
0.230017,0.354812,1
0.239903,0.32137,1
0.203826,0.528227,0
0.172606,0.4142,1
0.196498,0.254646,1
0.284968,0.726103,1
0.153061,0.556098,0
0.274397,0.40543,1
0.369777,0.839285,1
0.219491,0.499467,0
0.318159,0.346316,1
0.338236,0.526492,1
0.367851,0.400242,1
0.107681,0.255032,0
0.098899,0.526043,0
0.220687,0.290562,1
0.106738,0.478465,0
0.236149,0.391172,1
0.283775,0.503553,1
0.214709,0.563107,0
0.244116,0.572697,1
0.119173,0.717817,0
0.189994,0.455975,0
0.162138,0.577478,0
0.313184,0.535686,1
0.165381,0.511734,0
0.197731,0.65312,0
0.101092,0.699104,0
0.227979,0.542088,1
0.144152,0.458238,0
0.266506,0.519826,1
0.286861,0.615202,1
0.302389,0.493955,1
0.220136,0.486214,1
0.104979,0.342213,0
0.175722,0.598339,0
0.356087,0.092593,1
0.28346,0.5361,1
0.102494,0.660033,0
0.264937,0.495505,0
0.246974,0.514825,1
0.292811,0.516146,1
0.270463,0.587834,1
0.270412,0.426159,1
0.227455,0.271123,0
0.101362,0.657444,0
0.06697,0.189836,0
0.298692,0.617025,1
0.262103,0.408675,1
0.226283,0.527426,0
0.202149,0.512614,0
0.160854,0.518303,0
0.288889,0.379833,1
0.238816,0.531142,0
0.212429,0.546728,0
0.239919,0.44053,1
0.057341,0.402982,0
0.340586,0.602249,1
0.377474,0.575277,1
0.203181,0.687005,0
0.264692,0.541427,1
0.35122,0.615731,1
0.294773,0.495337,1
0.224926,0.428184,0
0.311279,0.313018,1
0.228908,0.738194,0
0.295966,0.758297,1
0.168107,0.495399,0
0.147158,0.66219,0
0.250314,0.804361,1
0.175195,0.607673,0
0.259995,0.637508,1
0.344492,0.674924,1
0.138764,0.404779,0
0.310277,0.417978,1
0.225865,0.604266,0
0.236627,0.377791,0
0.348501,0.667042,1
0.150176,0.524405,0
0.113032,0.495179,0
0.325736,0.704265,1
0.146686,0.282564,0
0.283554,0.513284,1
0.37471,0.678129,1
0.192329,0.382957,0
0.227264,0.57776,0
0.294407,0.302276,1
0.402671,0.474124,1
0.330381,0.596314,1
0.305045,0.600875,1
0.258284,0.696956,1
0.251301,0.408333,0
0.340301,0.596939,1
0.296436,0.380602,1
0.328385,0.446773,0
0.17647,0.676852,0
0.061659,0.281473,0
0.290519,0.279961,1
0.340991,0.354399,1
0.164876,0.365577,0
0.284154,0.474203,0
0.314901,0.740465,1
0.309426,0.319938,1
0.156737,0.488486,0
0.197361,0.631361,0
0.164082,0.456477,0
0.375724,0.730541,1
0.19651,0.379142,0
0.227967,0.589058,0
0.290585,0.359858,1
0.425837,0.700866,1
0.378089,0.594227,1
0.341745,0.465855,1
0.134554,0.738097,0
0.232999,0.354018,0
0.278439,0.430535,0
0.342963,0.448103,1
0.295891,0.443929,1
0.210525,0.680392,0
0.195756,0.58336,0
0.193273,0.489702,0
0.216978,0.344382,0
0.075458,0.645723,0
0.375291,0.530217,1
0.375194,0.363069,1
0.38165,0.515291,1
0.216769,0.742006,0
0.116725,0.346896,0
0.18352,0.389023,0
0.335956,0.110038,1
0.224793,0.413795,1
0.246671,0.511734,0
0.312076,0.148422,1
0.384027,0.344213,1
0.163249,0.2081,1
0.222183,0.512773,0
0.260586,0.438293,0
0.190057,0.417679,0
0.205898,0.438971,0
0.359118,0.390571,1
0.343253,0.438637,1
0.309054,0.514851,1
0.249167,0.620363,0
0.212932,0.685182,0
0.068242,0.584611,0
0.307207,0.331669,1
0.254336,0.422768,0
0.316188,0.443427,1
0.317508,0.455482,1
0.214476,0.43861,0
0.166262,0.60991,0
0.359357,0.504363,1
0.310795,0.674792,1
0.256861,0.731801,0
0.175532,0.449617,0
0.202664,0.38391,0
0.308812,0.533475,1
0.265461,0.349663,0
0.217828,0.496095,0
0.266842,0.448939,1
0.170611,0.768697,0
0.223167,0.476554,0
0.257666,0.70688,1
0.25538,0.620636,0
0.383833,0.472372,1
0.184907,0.57031,0
0.350869,0.683043,1
0.28865,0.644728,1
0.145411,0.483414,0
0.189549,0.474221,0
0.187011,0.704538,0
0.241015,0.50151,1
0.231628,0.662956,0
0.129465,0.408895,0
0.237078,0.633519,0
0.164343,0.561839,0
0.20478,0.469827,0
0.198339,0.509955,0
0.183816,0.645653,0
0.340016,0.776446,1
0.277682,0.643839,1
0.291754,0.532322,1
0.357507,0.376503,1
0.293919,0.632224,1
0.274588,0.557013,1
0.274585,0.388061,1
0.307888,0.285117,1
0.332116,0.593795,1
0.315489,0.283682,1
0.299754,0.495417,1
0.142273,0.60246,0
0.268871,0.453747,0
0.183841,0.647678,0
0.320694,0.69235,1
0.353419,0.539587,1
0.138481,0.633237,0
0.33757,0.508978,1
0.254687,0.264158,1
0.305687,0.520909,1
0.172621,0.622511,0
0.265782,0.525356,1
0.161015,0.672388,0
0.315177,0.624369,1
0.316712,0.327464,1
0.371127,0.424873,1
0.286046,0.421773,1
0.229808,0.594385,0
0.268752,0.642906,1
0.228127,0.467819,0
0.158254,0.550708,0
0.332849,0.581423,1
0.353931,0.482129,1
0.326647,0.216826,1
0.245212,0.498005,0
0.228687,0.683122,0
0.295034,0.267795,1
0.327474,0.463196,1
0.314226,0.629415,1
0.199581,0.217293,0
0.165396,0.483194,0
0.224057,0.339023,0
0.338687,0.403225,1
0.183929,0.309594,0
0.291388,0.762797,1
0.176894,0.724553,0
0.194954,0.716364,0
0.325687,0.56301,1
0.31624,0.665325,1
0.099795,0.469263,0
0.308518,0.457886,1
0.12176,0.576245,0
0.350194,0.299003,1
0.209416,0.63019,0
0.16668,0.387381,0
0.258024,0.474846,1
0.331404,0.592096,1
0.257246,0.398926,1
0.142322,0.474071,0
0.251359,0.444448,0
0.26692,0.495487,0
0.29765,0.506239,0
0.214173,0.611698,0
0.364151,0.616858,1
0.283942,0.455764,1
0.154899,0.514851,0
0.141292,0.143703,0
0.236884,0.632383,1
0.156829,0.611478,0
0.271111,0.609267,1
0.317826,0.445461,1
0.275348,0.650716,1
0.211775,0.511258,0
0.262197,0.470637,1
0.361295,0.437007,1
0.286464,0.549229,0
0.230347,0.490758,0
0.313411,0.643029,1
0.326998,0.493153,1
0.304457,0.637657,1
0.302295,0.167866,1
0.280199,0.046565,1
0.12743,0.773373,0
0.213507,0.352814,0
0.219309,0.431072,0
0.306392,0.555569,1
0.17637,0.506503,0
0.332416,0.327562,1
0.306656,0.561804,1
0.185809,0.552813,0
0.401563,0.662085,1
0.333824,0.482366,1
0.235177,0.733262,0
0.255665,0.476414,0
0.294619,0.643117,1
0.325412,0.420127,1
0.310335,0.311387,1
0.268044,0.803498,1
0.357849,0.444589,1
0.31008,0.41349,1
0.247864,0.711891,1
0.132833,0.453827,0
0.243131,0.490432,0
0.384742,0.359148,1
0.246256,0.510721,0
0.333969,0.570689,1
0.304524,0.496147,1
0.207999,0.619244,0
0.297059,0.663353,1
0.321745,0.680832,1
0.264437,0.801235,1
0.259184,0.261276,0
0.321751,0.49266,1
0.303948,0.587402,1
0.318553,0.513909,1
0.167798,0.594782,1
0.294495,0.370386,1
0.179759,0.424248,0
0.202312,0.337317,0
0.281664,0.593188,1
0.21451,0.389274,0
0.261406,0.511012,1
0.31984,0.669332,1
0.149813,0.611275,0
0.273873,0.380086,1
0.135252,0.572406,0
0.129556,0.331865,0
0.330602,0.475656,1
0.159861,0.484973,0
0.274554,0.509638,1
0.207896,0.498569,0
0.330248,0.508669,1
0.214019,0.40442,1
0.168412,0.692694,0
0.090241,0.606863,0
0.35427,0.647907,1
0.150808,0.448323,0
0.189076,0.355377,0
0.268622,0.367601,1
0.231228,0.419237,1
0.272077,0.6734,1
0.210912,0.437985,0
0.331047,0.400277,1
0.142106,0.129569,0
0.091104,0.550118,0
0.294643,0.275602,1
0.190699,0.636116,0
0.284217,0.334382,1
0.178308,0.509506,0
0.176204,0.57828,0
0.179874,0.580595,0
0.180564,0.30178,0
0.138325,0.492176,0
0.178387,0.579671,0
0.260916,0.412831,0
0.210485,0.408107,0
0.21341,0.522979,1
0.125123,0.517237,0
0.288514,0.425938,1
0.240297,0.432305,1
0.236418,0.696718,0
0.262645,0.501686,1
0.319007,0.462826,1
0.313199,0.429496,1
0.344095,0.463354,1
0.344528,0.433089,1
0.187096,0.676042,0
0.288526,0.617263,1
0.183268,0.608712,0
0.357016,0.3319,1
0.333348,0.489085,1
0.180274,0.370455,0
0.299327,0.464614,1
0.361734,0.547265,1
0.172313,0.491683,0
0.295897,0.446535,1
0.198185,0.759794,0
0.289377,0.451185,1
0.187798,0.452911,0
0.305151,0.370863,1
0.331819,0.574581,1
0.281216,0.496878,1
0.310692,0.414579,1
0.141268,0.42357,0
0.176177,0.502312,0
0.188713,0.425921,0
0.177539,0.577267,0
0.330027,0.622124,1
0.174226,0.411918,0
0.189252,0.344975,0
0.157568,0.310849,0
0.292332,0.450022,1
0.312833,0.408323,1
0.256016,0.343476,1
0.219606,0.370513,0
0.163358,0.533326,0
0.327589,0.432199,1
0.162829,0.40297,0
0.428762,0.544492,1
0.260292,0.572054,0
0.317484,0.585632,1
0.172419,0.527417,0
0.281283,0.656845,1
0.233784,0.414051,0
0.288505,0.392654,1
0.150884,0.593734,0
0.313118,0.287269,0
0.303155,0.507683,1
0.260852,0.251632,1
0.169239,0.506151,0
0.298186,0.344731,1
0.209716,0.447768,0
0.200253,0.584276,0
0.321251,0.459533,1
0.246456,0.329766,0
0.341809,0.538125,1
0.073723,0.447539,0
0.270151,0.14188,1
0.116737,0.596675,0
0.260431,0.507296,0
0.191299,0.293684,0
0.389511,0.693768,1
